formula,prediction,density,Peak Score
AsBr3,2.870,17.977,2.726
HfBr3,3.846,10.906,2.718
YBr3,4.091,10.790,2.603
BCl3,2.725,17.133,2.590
SmI3,2.684,10.530,2.577
DyBr3,5.246,10.596,2.515
HF,19.585,13.789,2.453
NdI3,4.136,10.555,2.447
AsCl3,3.403,17.607,2.446
HgIBr,4.146,34.624,2.435
H5CNO2,12.610,14.386,2.387
SF6,3.974,14.587,2.356
H2,4.163,14.748,2.348
Cs2PtI6,6.626,13.176,2.344
Cs2PdI6,5.466,13.210,2.333
RuF6,6.068,7.284,2.313
Rb3Na,8.373,3.718,2.308
Rb,7.431,3.718,2.302
Rb2PdBr6,8.540,13.271,2.286
NiBr2,7.924,35.251,2.270
Cs2TeI6,7.624,14.541,2.248
Rb2WBr6,9.674,13.504,2.235
MnBr2,10.035,35.649,2.227
FeBr2,8.753,35.484,2.227
HoI3,2.657,10.676,2.220
MoBr3,4.306,10.978,2.220
Rb2SnBr6,8.718,14.198,2.196
UF6,7.218,7.196,2.170
SbI3,1.676,18.670,2.152
BaNa2,13.901,3.712,2.143
TiI4,1.690,10.027,2.118
PrBr3,11.628,10.695,2.105
Cs2PtCl6,9.720,13.348,2.099
Rb2PdCl6,9.490,13.354,2.098
SbF3,35.296,16.963,2.094
Pt(SCl3)2,8.011,6.510,2.092
RbI,12.138,15.431,2.089
BaSr3,10.273,2.787,2.088
Cs2PbCl6,12.115,14.266,2.086
CsKICl,12.932,15.673,2.064
SeCl,8.238,20.815,2.060
K3Hg,16.053,9.104,2.058
Ba,8.266,2.781,2.050
Rb2TiCl6,9.928,12.821,2.049
CsCa3,13.781,2.774,2.048
K3Cd,13.241,9.148,2.044
CsTiBr3,13.078,27.335,2.038
RbCa3,11.712,2.786,2.038
Rb3Cd,10.846,9.333,2.038
BiF5,14.831,14.769,2.031
K2PtCl6,11.153,13.356,2.021
SnF4,19.618,15.642,2.016
InCl3,5.588,18.675,2.009
NbTe4,8.449,16.080,2.006
CuBr2,7.054,35.657,2.003
KNaICl,14.169,15.426,2.002
CsK2Sb,12.207,9.341,2.000
AcBr3,15.049,10.632,1.996
Rb3Sb,10.977,8.979,1.994
K3As,18.048,9.144,1.980
TeF4,7.921,14.808,1.969
RbMnBr3,16.123,23.861,1.954
Cs2ICl6F,13.043,25.338,1.930
CsCoCl3,18.257,22.653,1.928
K3P,13.470,9.296,1.925
KBr,12.538,15.572,1.921
Rb2GeF6,21.696,14.195,1.910
K2SBrCl6,14.690,25.399,1.910
Cs2SCl6F,13.482,25.535,1.900
Rb7Au5O2,19.723,4.557,1.890
Eu,20.534,2.711,1.877
UI3,3.842,10.777,1.877
K3Sn,13.667,9.035,1.869
K2GeF6,32.653,14.161,1.864
Na3Hg,16.376,8.794,1.832
Li3Sm,20.225,3.848,1.829
Li3Th,35.374,3.847,1.827
Rb4Br2O,14.975,0.946,1.823
CsF,21.036,14.560,1.812
Rb2H6Pt,13.552,13.514,1.791
K4Br2O,12.684,0.947,1.774
Li2MnBr4,18.700,9.777,1.760
Sn4Bi2Se7,30.569,38.405,1.748
LiBr,18.944,15.618,1.726
KCuCl3,15.266,22.595,1.726
TlPF6,14.338,15.567,1.718
PdF4,21.540,12.855,1.717
KAgCl3,14.593,22.566,1.708
Li3Cd,22.335,8.687,1.705
Na4Br2O,17.773,0.947,1.702
CsTeAu,17.499,12.034,1.680
Na3Sn,17.203,8.777,1.669
Na3Tl,19.005,8.717,1.650
Tl2WCl6,10.839,21.420,1.642
Rb3BAs2,17.782,18.839,1.634
CrOF3,78.464,9.239,1.631
RbHS,16.426,11.274,1.629
Te,15.118,25.595,1.615
KLiSe,21.264,7.453,1.613
MgWF6,29.603,13.038,1.610
