formula,Density Score,Peak Score
Lu8Te,3.671,1.265
NdSc3,3.123,-0.099
Rb4Br2O,3.076,1.823
K4Br2O,3.076,1.774
Na4Br2O,3.076,1.702
LiSc2Pt,2.801,-0.272
LiZr2Re,2.801,-0.316
Sm2O,2.701,0.819
NaTl2InF6,2.342,0.604
Ce3GaBr3,2.336,0.368
Eu,2.332,1.877
CsCa3,2.312,2.048
Ba,2.310,2.050
RbCa3,2.308,2.038
BaSr3,2.308,2.088
Ca3PCl3,2.305,1.128
SmLu3,2.173,1.066
U2Ti,2.151,-0.016
CeY3,2.151,1.083
Ho6MnBi2,2.113,0.644
Li2ZrN2,2.095,0.677
Y,2.094,1.025
Na5BiO5,2.071,0.944
Li6PS5I,2.058,0.905
BaNa2,2.042,2.143
Rb3Na,2.040,2.308
Rb,2.040,2.302
Ho2C,2.012,0.723
Li3Th,2.007,1.827
Li3Sm,2.006,1.829
Y2C,2.003,0.738
LiTm3,1.999,1.452
Ba3ZnN2O,1.988,0.519
Sr6Cu3N5,1.984,0.610
Er,1.978,1.055
Pu,1.942,0.325
NaEr3,1.939,1.218
RbAsF6,1.934,1.406
Ba3FeN3,1.931,0.665
Ca3MnN3,1.920,0.568
LiAc2Si,1.913,0.998
Ca3GaN3,1.907,0.518
Sr3(GeN)2,1.904,0.522
Sr2ZnN2,1.893,0.633
Tb2Tl,1.893,0.840
Dy3Y,1.879,1.070
NdDy3,1.860,1.099
PrDy3,1.854,1.111
Rb7Au5O2,1.836,1.890
Sm2Tl,1.827,0.870
Y2Al,1.827,0.913
Sr3IrN3,1.764,0.549
Ca4VN4,1.762,0.365
Ca4ZrN4,1.761,0.386
Sr4TiN4,1.761,0.383
Sr3CrN3,1.760,0.538
Ca5(AlSb3)2,1.745,0.437
TmTh3,1.732,1.253
Na6ZnS4,1.717,0.679
La3Er,1.707,1.286
Ac,1.671,0.828
Ac3Th,1.669,0.840
Ba5Al5Pb,1.668,1.149
La,1.663,1.244
Ba5Al5Sn,1.661,1.144
SmTh3,1.658,1.104
Sc6FeSb2,1.634,-0.087
Hf6NiSb2,1.634,-0.157
Zr6CoAs2,1.634,-0.103
Li3NbO4,1.628,0.600
Li3VO4,1.627,0.582
LiH6ClO7,1.626,1.493
KNaTiO3,1.622,0.191
Li2VO2F,1.621,0.126
Li2TiO3,1.619,0.251
Li2VO3,1.618,0.126
Na8Ti5O14,1.615,-0.274
