formula,Density Score,Peak Score
Ca5Zn3,1.602,1.559
Pr2TeO2,1.602,0.013
Sr(GaTe2)2,1.600,0.132
Ca4Mg4Fe3H22,1.592,0.719
TmHfCo2,1.590,-0.259
Hf(Te2Cl3)2,1.587,1.604
Ce(Re2Si)2,1.580,-1.506
LiFe2F6,1.579,0.791
LiAg2F6,1.569,0.737
Na3AgO2,1.567,1.002
Cs4ZnO3,1.567,1.232
Li5SbS,1.564,1.324
Ho2AlSi2,1.536,0.259
Tb2Si3,1.536,0.115
TmScHg2,1.534,0.782
Th2Ge,1.533,0.404
Li6IrN4,1.531,0.417
Na6MoN4,1.530,0.377
KLiZnO2,1.530,0.859
Li6MoN4,1.527,0.353
Rb2CdO2,1.525,1.313
Ba(PdO2)2,1.525,-0.566
Li2MnO2,1.519,0.733
Pt(SCl3)2,1.449,2.092
UF6,1.334,2.170
RuF6,1.320,2.313
KLiSe,1.293,1.613
Li3Cd,1.110,1.705
Na3Tl,1.106,1.650
Na3Sn,1.098,1.669
Na3Hg,1.095,1.832
Rb3Sb,1.070,1.994
K3Sn,1.063,1.869
K3Hg,1.053,2.058
K3As,1.048,1.980
K3Cd,1.047,2.044
CrOF3,1.035,1.631
K3P,1.028,1.925
Rb3Cd,1.023,2.038
CsK2Sb,1.022,2.000
Li2MnBr4,0.965,1.760
TiI4,0.934,2.118
SmI3,0.872,2.577
NdI3,0.870,2.447
DyBr3,0.865,2.515
AcBr3,0.860,1.996
HoI3,0.855,2.220
PrBr3,0.853,2.105
UI3,0.843,1.877
YBr3,0.842,2.603
HfBr3,0.828,2.718
MoBr3,0.820,2.220
RbHS,0.786,1.629
CsTeAu,0.702,1.680
Rb2TiCl6,0.620,2.049
PdF4,0.616,1.717
MgWF6,0.598,1.610
Cs2PtI6,0.584,2.344
Cs2PdI6,0.580,2.333
Rb2PdBr6,0.574,2.286
Cs2PtCl6,0.567,2.099
Rb2PdCl6,0.566,2.098
K2PtCl6,0.566,2.021
Rb2WBr6,0.551,2.235
Rb2H6Pt,0.550,1.791
HF,0.524,2.453
K2GeF6,0.488,1.864
Rb2GeF6,0.485,1.910
Rb2SnBr6,0.485,2.196
Cs2PbCl6,0.478,2.086
H5CNO2,0.467,2.387
Cs2TeI6,0.453,2.248
CsF,0.451,1.812
SF6,0.449,2.356
H2,0.434,2.348
BiF5,0.432,2.031
TeF4,0.429,1.969
KNaICl,0.373,2.002
RbI,0.373,2.089
TlPF6,0.361,1.718
KBr,0.361,1.921
LiBr,0.357,1.726
SnF4,0.355,2.016
CsKICl,0.352,2.064
NbTe4,0.317,2.006
SbF3,0.244,2.094
BCl3,0.230,2.590
AsCl3,0.192,2.446
AsBr3,0.163,2.726
SbI3,0.111,2.152
InCl3,0.110,2.009
Rb3BAs2,0.098,1.634
SeCl,-0.043,2.060
Tl2WCl6,-0.084,1.642
KAgCl3,-0.158,1.708
KCuCl3,-0.160,1.726
CsCoCl3,-0.164,1.928
RbMnBr3,-0.239,1.954
Cs2ICl6F,-0.327,1.930
K2SBrCl6,-0.331,1.910
Cs2SCl6F,-0.339,1.900
Te,-0.342,1.615
CsTiBr3,-0.439,2.038
HgIBr,-0.797,2.435
NiBr2,-0.825,2.270
FeBr2,-0.835,2.227
MnBr2,-0.842,2.227
CuBr2,-0.842,2.003
Sn4Bi2Se7,-0.958,1.748
