formula,prediction,density,Density Score
Lu8Te,58.897,0.117,3.671
NdSc3,48.020,0.866,3.123
Rb4Br2O,14.975,0.946,3.076
K4Br2O,12.684,0.947,3.076
Na4Br2O,17.773,0.947,3.076
LiSc2Pt,88.729,1.485,2.801
LiZr2Re,124.718,1.486,2.801
Sm2O,70.380,1.713,2.701
NaTl2InF6,59.500,2.680,2.342
Ce3GaBr3,36.220,2.698,2.336
Eu,20.534,2.711,2.332
CsCa3,13.781,2.774,2.312
Ba,8.266,2.781,2.310
RbCa3,11.712,2.786,2.308
BaSr3,10.273,2.787,2.308
Ca3PCl3,36.449,2.796,2.305
SmLu3,43.508,3.235,2.173
U2Ti,122.986,3.309,2.151
CeY3,38.594,3.312,2.151
Ho6MnBi2,53.712,3.446,2.113
Li2ZrN2,94.468,3.512,2.095
Y,44.322,3.514,2.094
Na5BiO5,50.337,3.599,2.071
Li6PS5I,26.936,3.648,2.058
BaNa2,13.901,3.712,2.042
Rb3Na,8.373,3.718,2.040
Rb,7.431,3.718,2.040
Ho2C,64.886,3.826,2.012
Li3Th,35.374,3.847,2.007
Li3Sm,20.225,3.848,2.006
Y2C,57.576,3.860,2.003
LiTm3,37.139,3.875,1.999
Ba3ZnN2O,42.768,3.921,1.988
Sr6Cu3N5,55.547,3.937,1.984
Er,46.894,3.960,1.978
Pu,89.070,4.105,1.942
NaEr3,33.464,4.118,1.939
RbAsF6,19.964,4.138,1.934
Ba3FeN3,40.382,4.151,1.931
Ca3MnN3,81.304,4.197,1.920
LiAc2Si,42.695,4.225,1.913
Ca3GaN3,83.645,4.250,1.907
Sr3(GeN)2,46.425,4.262,1.904
Sr2ZnN2,65.777,4.308,1.893
Tb2Tl,49.709,4.310,1.893
Dy3Y,42.769,4.368,1.879
NdDy3,39.572,4.452,1.860
PrDy3,39.186,4.475,1.854
Rb7Au5O2,19.723,4.557,1.836
Sm2Tl,46.244,4.593,1.827
Y2Al,54.562,4.594,1.827
Sr3IrN3,57.830,4.881,1.764
Ca4VN4,74.958,4.889,1.762
Ca4ZrN4,85.983,4.893,1.761
Sr4TiN4,62.766,4.894,1.761
Sr3CrN3,54.632,4.900,1.760
Ca5(AlSb3)2,39.315,4.972,1.745
TmTh3,49.816,5.031,1.732
Na6ZnS4,28.657,5.103,1.717
La3Er,31.968,5.149,1.707
Ac,27.611,5.325,1.671
Ac3Th,32.628,5.336,1.669
Ba5Al5Pb,34.861,5.342,1.668
La,33.133,5.364,1.663
Ba5Al5Sn,33.056,5.377,1.661
SmTh3,46.314,5.389,1.658
Sc6FeSb2,74.690,5.511,1.634
Hf6NiSb2,124.659,5.511,1.634
Zr6CoAs2,117.193,5.512,1.634
Li3NbO4,88.906,5.541,1.628
Li3VO4,80.660,5.547,1.627
LiH6ClO7,17.245,5.553,1.626
KNaTiO3,75.834,5.569,1.622
Li2VO2F,88.178,5.579,1.621
Li2TiO3,108.036,5.587,1.619
Li2VO3,87.956,5.591,1.618
Na8Ti5O14,85.124,5.609,1.615
Ca5Zn3,28.044,5.674,1.602
Pr2TeO2,72.516,5.675,1.602
Sr(GaTe2)2,24.518,5.687,1.600
Ca4Mg4Fe3H22,53.935,5.727,1.592
TmHfCo2,127.147,5.738,1.590
Hf(Te2Cl3)2,10.057,5.752,1.587
Ce(Re2Si)2,199.809,5.789,1.580
LiFe2F6,70.526,5.797,1.579
LiAg2F6,33.465,5.848,1.569
Na3AgO2,45.900,5.855,1.567
Cs4ZnO3,18.564,5.859,1.567
Li5SbS,33.570,5.876,1.564
Ho2AlSi2,92.608,6.022,1.536
Tb2Si3,84.215,6.026,1.536
TmScHg2,69.056,6.036,1.534
Th2Ge,81.075,6.042,1.533
Li6IrN4,82.038,6.052,1.531
Na6MoN4,40.305,6.054,1.530
KLiZnO2,53.644,6.054,1.530
Li6MoN4,78.625,6.070,1.527
Rb2CdO2,38.145,6.083,1.525
Ba(PdO2)2,109.183,6.085,1.525
Li2MnO2,89.881,6.115,1.519
