formula,Density Score,Peak Score
UB2Os3,2.801,1.479
LiZr2Re,2.673,0.363
HfCo3B2,2.649,1.178
TaMoN,2.648,0.874
LiIr3,2.564,1.288
Lu8Te,2.487,2.126
DyB2Ir3,2.462,0.256
Cr2N,2.449,-0.417
PrB2Ir3,2.426,0.204
Ce(Re2Si)2,2.410,-0.335
LiNbIr2,2.390,0.286
MoN,2.363,0.059
Nb4N3,2.335,0.480
PuOs2,2.308,0.365
TaN,2.305,1.262
LiSc2Pt,2.301,-0.744
YB2Ru3,2.301,-0.673
LuTaOs2,2.265,0.467
HoNbOs2,2.227,-0.005
BMo,2.226,-0.316
ReB2,2.204,0.282
Ta3N5,2.194,-0.029
U2Ti,2.192,1.307
SmB2Rh3,2.186,-0.189
B2W,2.178,0.750
NbCrSi,2.175,-0.155
Nb2C,2.173,-0.624
Co(BW)2,2.169,-0.247
TaCuN2,2.147,0.556
V2C,2.137,-1.045
Cr3GaN,2.120,-0.404
B2Mo,2.111,0.405
LuOs2,2.101,0.526
Sm2O,2.100,2.093
ErTaRu2,2.099,-0.171
LaOs2,2.077,0.060
U(Cr3P2)2,2.068,-1.311
HoTaRu2,2.039,-0.460
YTaRu2,2.039,-0.282
ErRu3,2.039,-0.155
PuRu2,2.035,-0.610
V2P,2.028,-1.171
TaB2,2.022,1.029
AlCr3B4,2.015,-0.719
Ta5Si3,2.009,0.391
Ni(BMo)2,2.008,-0.766
TmNbRu2,2.003,-0.354
LiTiRh2,2.002,-0.514
CrWN2,1.997,-1.056
MgTaN2,1.989,-0.047
YNbRu2,1.986,-0.554
NdSc3,1.979,-1.892
ZrNbP,1.972,-0.391
B2Ru,1.969,-0.736
CaAl2O4,1.968,2.397
Hf2N,1.966,0.431
NbCrGe,1.960,-0.735
Hf2Al4C5,1.958,0.845
Ti2N,1.958,-0.058
ScCoC2,1.940,0.120
HoSi2Rh3,1.927,-0.882
V3AsC,1.914,-1.144
NdSi2Rh3,1.912,-0.856
SiMo3,1.897,0.322
LiSi2N3,1.890,0.826
Ti3B4,1.886,-1.153
LiHfRh2,1.886,-0.655
CoMoP,1.876,0.735
Ta3Sb,1.875,1.309
Pr2(ReB2)3,1.852,0.976
Sm2AlNO3,1.847,0.779
ScSi3Ni2,1.842,-0.628
TmHfCo2,1.836,1.000
DyB2Rh2C,1.836,-0.178
PaB3,1.823,3.577
MgTiN2,1.823,-0.653
PaO2,1.822,1.919
PrRe2,1.812,-0.507
V2O3,1.812,2.873
CeRu2,1.812,-0.584
Pr2AlNO3,1.802,-0.184
NaTi2BiO6,1.798,1.565
TbB2Rh2C,1.795,-0.313
Zn2ReN3,1.792,-0.375
LiZrPt2,1.784,-0.009
DyRh3C,1.783,-0.098
ThB6,1.769,0.040
Zn2MoN3,1.766,-0.463
Mg2NbN3,1.755,-0.378
Li2ZrN2,1.749,2.080
MnNbP,1.745,0.738
Zr3N4,1.740,-0.573
VZn2N3,1.734,-0.400
UO,1.723,2.747
ThB2C,1.722,3.028
V2CN,1.721,-0.921
YAl3O6,1.702,2.184
Hf6NiSb2,1.700,0.818
YRu2,1.691,-0.782
Zr6CoAs2,1.691,0.971
Li2TiO3,1.599,1.738
U3Si,1.566,2.380
Y4Al2O9,1.559,2.559
UO3,1.558,5.992
ZrSiO,1.520,3.259
WO2,1.411,3.464
TmB2,1.383,1.884
YB2C,1.380,2.108
Li3NbO4,1.361,1.855
Mg(MoO2)2,1.292,3.887
IrO2,1.263,2.142
Li2MnO2,1.253,2.159
LiFe2F6,1.242,2.012
HfH3,1.224,2.447
LiCrN2,1.214,1.790
Li7SbN4,1.173,1.926
ScF3,1.168,3.813
MnB4,1.161,2.087
Ba(SbO3)2,1.118,1.813
SrCu2O3,1.086,1.729
Li2GeN2,1.049,2.991
NiH,1.040,4.178
PmF3,1.001,2.566
Er2SiO5,0.997,1.881
Si3N4,0.980,2.279
LiGaO2,0.947,2.472
Li2Pt,0.946,2.873
ScH3,0.935,1.691
Er2Pt,0.922,2.867
SmFePO,0.890,1.743
Li2SiO3,0.885,3.919
Li3Th,0.846,2.345
SiIr3,0.832,1.765
Be2B,0.819,2.062
LiCaRh,0.798,2.098
Ni3Se2,0.777,1.765
Ta2Co,0.768,1.743
Na2Pd3O4,0.768,3.636
VCuO2,0.734,2.024
Ta2Ni,0.711,2.129
CrOF3,0.705,5.038
CaB2,0.675,3.397
Ba(CuO)2,0.674,2.421
YH2,0.640,1.693
LiCo2Ge,0.629,2.226
LuSiIr,0.593,1.757
LiBO2,0.575,3.521
ErTlO2,0.568,2.820
SrLiN,0.530,1.780
YTlO2,0.505,2.227
NaLiO,0.477,1.925
YCo3,0.451,3.186
YBiO3,0.378,2.027
MgGeN2,0.336,1.685
Li2O2,0.231,3.440
ZnO,0.191,2.589
Mn5Si3,0.186,2.018
As2O3,0.184,2.483
FeF3,0.182,2.568
BeZnO2,0.177,1.802
NiHO2,0.172,2.693
Li3InN2,0.053,2.449
LiFeP,0.032,2.125
FeF2,0.028,4.064
Ge3(BiO3)4,0.024,4.616
EuClO,0.001,2.514
ScBi3,-0.027,1.886
Ca2SiH2O5,-0.056,1.945
NbInS2,-0.073,1.683
MnIr,-0.124,2.224
Ca(BeN)2,-0.161,2.592
Mg(GaO2)2,-0.184,2.885
Li2NbF6,-0.203,1.791
AlPO4,-0.204,2.199
Dy(AlSi)2,-0.373,1.760
Y(AlSi)2,-0.376,2.125
CoSe2,-0.395,1.755
SbF3,-0.426,4.315
AlTlO2,-0.479,2.308
NaF,-0.485,1.845
KCrF3,-0.565,3.671
GeF2,-0.570,2.588
K2GeF6,-0.659,1.831
Zn3Os,-0.698,1.760
PbO,-0.722,1.718
PbClF,-0.792,1.851
HF,-1.081,2.025
MnZn,-1.172,2.222
ThAl,-1.173,1.862
Zn3Co,-1.305,2.457
