formula,prediction,density,Peak Score
WO2,301.986,27.686,6.828
PaB3,206.580,10.598,4.832
NiH,180.583,18.916,4.604
Mg(MoO2)2,170.206,13.951,4.297
ZrSiO,189.095,13.119,4.124
SiIr3,303.842,44.763,4.004
V2O3,210.968,11.675,3.971
MnIr,256.344,73.835,3.971
FeF2,140.825,33.570,3.958
CrOF3,88.602,9.239,3.765
IrO2,282.070,31.138,3.704
LiBO2,108.367,12.641,3.521
UO3,124.257,10.419,3.486
Ta2Ni,214.917,30.029,3.440
NiHO2,149.337,26.678,3.381
Ge3(BiO3)4,119.551,34.707,3.332
Mg(GaO2)2,166.108,45.600,3.283
MnB4,233.695,27.184,3.270
ThB2C,176.604,10.583,3.244
ZnO,163.892,32.924,3.203
LiGaO2,143.337,14.055,3.146
UB2Os3,285.358,6.909,3.141
Y4Al2O9,163.933,9.521,3.076
YB2C,164.501,11.200,3.052
Li2GeN2,95.037,6.338,3.014
Li2O2,104.335,17.347,3.008
CaB2,114.746,15.224,2.945
UO,174.607,10.511,2.941
Ta2Co,216.903,29.616,2.910
LiIr3,247.100,6.483,2.895
Ta2O5,197.470,16.977,2.861
Li2SiO3,96.682,10.126,2.850
Be2B,182.988,23.185,2.843
MnSiIr,227.906,47.730,2.838
PaO2,206.488,10.840,2.832
CaAl2O4,158.671,6.574,2.798
BOs,338.498,31.677,2.768
YCo3,116.514,19.491,2.756
YAl3O6,185.599,10.592,2.754
TaN,320.983,15.393,2.691
CrO,205.560,13.682,2.646
LiCo2Ge,156.190,23.219,2.644
TmB2,171.600,12.647,2.601
ScF3,113.229,10.400,2.560
As2O3,138.176,30.161,2.557
B2W,335.749,16.274,2.536
Si3N4,208.713,28.615,2.502
GaAuO2,160.990,35.603,2.462
KCrF3,74.464,27.315,2.441
TaB2,293.403,15.550,2.434
HfH3,131.542,10.330,2.431
TaMn2,257.496,25.932,2.392
MgGeN2,161.705,27.732,2.375
BeZnO2,160.480,33.284,2.356
LiSi2N3,179.177,6.314,2.356
PuN,201.045,12.474,2.344
PmF3,109.099,11.217,2.250
Zn3Co,112.155,69.507,2.218
KPuO3,145.709,8.598,2.211
Ca(BeN)2,114.601,31.710,2.200
Er2SiO5,135.816,13.327,2.194
Li3InN2,94.593,20.586,2.183
InGaO3,181.265,45.262,2.181
AlTlO2,108.246,35.562,2.179
HfCo3B2,249.536,6.468,2.167
Hf2Al4C5,196.019,8.205,2.161
Na2Pd3O4,66.907,7.548,2.158
Er2Pt,86.772,8.916,2.128
LuSiIr,147.797,22.342,2.111
YBiO3,143.812,24.682,2.094
Ta3Sb,187.368,8.500,2.082
Li(Co3P2)2,188.782,20.903,2.057
HoN,164.113,16.120,2.056
YB2,167.156,12.582,2.043
Co3W,271.306,37.226,2.042
HfPRu,213.375,13.642,2.000
Ir,358.305,31.333,1.998
SmFePO,119.018,12.496,1.973
AlPt2,213.957,58.917,1.971
ZnO2,162.365,39.634,1.967
Li2Pt,68.058,6.602,1.957
Ni3Se2,112.929,13.071,1.927
LiFeP,97.968,21.701,1.924
BP,174.249,29.295,1.908
Pr2(ReB2)3,201.253,9.603,1.897
ErTlO2,91.037,13.958,1.885
ScH3,112.910,10.396,1.880
Sr2CuO4,118.820,9.251,1.879
PaNi2Sb,133.960,22.771,1.844
Mn5Si3,183.021,44.714,1.838
HfGeO4,189.421,21.123,1.831
MnZn,110.235,66.680,1.829
NiN,230.699,25.419,1.826
Tl2InGaF6,73.471,24.193,1.824
NdOF,124.361,11.239,1.823
Be2Fe,167.912,47.291,1.822
VCuO2,146.552,21.029,1.801
Li7SbN4,93.091,6.642,1.801
Rh2O3,205.472,40.525,1.781
YTlO2,93.245,13.959,1.780
