,formula
239,Mg(InSe2)2
240,K3Hf2Se11
241,Ta36B4C35
242,Na2Al2(SiO4)3
243,Pr(NO5)3
244,Sn3PO6
245,Ce2MnN3
246,BaO2
247,CoNi
248,CoMo
249,KNdS2
250,CeS
251,KYS2
252,KSmSe2
253,Ce(P3Ru)4
254,DySb
255,BaAg(PO3)3
256,GeSe2
257,Hf3(NiGe)4
258,KLuS2
259,KNaH2
260,InAs
261,HfPd3
262,HfRu3
263,IrN
264,InSb
265,HoTlTe2
266,InPd3
267,HoTlS2
268,HoAu
269,InAgSe2
270,HgPt3
271,HfPt
272,HfPd
273,HfOs3
274,SnPO4F
275,HfAl3
276,HfAu
277,HfCd
278,Ge
279,HW
280,ZnHCO4
281,TlAs
282,TlP
283,HfIr
284,TbTiGe
285,CoW
286,GaCo2Ni
287,GaBN2
288,GaN
289,FeCo3
290,Fe3Ni
291,FeNi3
292,FeNi3
293,Ga
294,Fe3Ni
295,FeB
296,TbAgGe
297,EuTlS2
298,ErH
299,ErTlTe2
300,DyTlTe2
301,NaEuS2
302,DyAu
303,CuI
304,CrNi3
305,CrCu2Si
306,CrInCu2
307,CrNi3
308,CrNi3
309,Cs
310,CrInNi2
311,CrH
312,NiHg
313,PrGeBO5
314,CaSe
315,CrCo2Si
316,CrFe2Sb
317,CrFe2Sn
318,SnPOF7
319,Co3W
320,Cr3Ni
321,CrCo2As
322,Cr3Ni
323,Co3Mo
324,CrCo3
325,Cr3Fe
326,Cr3Ni
327,Cr3Fe
328,Co3Ni
329,C
330,CeH3
331,Cl2
332,C
333,CdTe
334,BW
335,BiPd
336,BrCl
337,Ca
338,BaO
339,Be
340,BaPd
341,BaGaSiH
342,BaGaCu2
343,BeSe
344,B2CN
345,B2CN
346,B2CN
347,B2AsP
348,AlVFeCo
349,Al3V
350,AlCu3
351,AlGaN2
352,AlBN2
353,BP
354,TmTlTe2
355,ZrTi2
356,YSF
357,ZrAg2
358,YbAg2
359,YBiPd
360,W2C
361,VTe2
362,VCoTe
363,V2C
364,Au
365,CeSe
366,U
367,TmCd2
368,TiO2
369,TiGePt
370,TiS2
371,CeScSi
372,Ni
373,Ge
374,ThH2
375,CeTe
376,TbHg2
377,TaN2
378,SrC2
379,SmHg2
380,RuO2
381,MgTe
382,ReN2
383,ReC2
384,NpN2
385,NdBiPd
386,NbS2
387,NdCd2
388,NaAgO
389,MnFeTe
390,MnCoSe
391,MnCoTe
392,Mn2Sb
393,MnCoS
394,MgNiH
395,Ba5Sb4
396,MgH2
397,LuSb2
398,MgAgSb
399,LuCd2
400,LiMnAs
401,Mn2Ge
402,DySb
403,LiFeP
404,CrTe
405,LiFeAs
406,EuSe
407,FeN
408,ErSb
409,LaS
410,LaSe
411,SrSi6
412,LiCdAs
413,LuSb
414,LaTe
415,LiF
416,LiCuO
417,LuAs
418,HoSb
419,InAg
420,KAgO
421,FeH
422,CoN
423,CrTe
424,HoCd2
425,MgSnAs2
426,MgSnP2
427,BeSnAs2
428,BeSiP2
429,BeSnP2
430,BeSiAs2
431,BeGeAs2
432,KV(CuSe2)2
433,HoHg2
434,MgO
435,MnN
436,MnAs
437,HoBiPd
438,MnCo
439,MnFe
440,KCu4Se3
441,MnSn
442,MnSb
443,MnSb
444,MnSb
445,NaH
446,MnTe
447,NaAs
448,NdAs
449,Hf2Tl
450,NbCo
451,Sr2YbNbO6
452,Tm5(ReO6)2
453,Hf
454,NiN
455,RbTe
456,O2
457,NpN
458,OsN
459,EuZnGe
460,DyBiPd
461,CsRbP
462,PaN
463,CsRbAs
464,PbS
465,CrO2
466,CrSe2
467,PrAs
468,CrFeTe
469,CrCoTe
470,Pr
471,Na3Sr3GaP4
472,PrN
473,CoTe2
474,PrN
475,CaHg2
476,CaC2
477,CaGe2
478,CaN2
479,CaB2
480,Na3Sr3GaAs4
481,Ca2Sn
482,Ca2Si
483,RhN
484,ReC
485,ScN
486,Ca2Ge
487,Ca2Pb
488,Se
489,RuN
490,RuC
491,YGeAu
492,SiSn
493,SmAs
494,TaC
495,SrO
496,BeB2
497,TaCo
498,BaSi2
499,Be2Si
500,Be2Zn
501,TaN
502,Al2Ru
503,ZrN
504,TbAl
505,ZrN
506,Ir
507,MnB4
508,Br
509,CrCo
510,CsAgC2
511,Cu
512,DyAs
513,KAgC2
514,LiYbAlF6
515,UTeAs
516,Ca2As
517,NpP
518,NpS
519,MgNi
520,SiRh
521,PrBi
522,LaB2Ir3
523,EuFeO3
524,ScBIr3
525,CeSe2
526,CeSe2
527,CeSe2
528,ScB4Ir3
529,ThB2Ir3
530,UB2Ir3
531,Cs2Se
532,Cs2Se
533,Cs2Se
534,Mg3(Ni10B3)2
535,Cs2Se
536,Mn2AlO4
537,Cs2Se
538,Mn3B4
539,Na2CoP2O7
540,Na2CoP2O7
541,Na2CoP2O7
542,NdBPd3
543,V2NiO6
544,Cs
545,Ni21(B3Sb)2
546,Tb(Ni2B)6
547,PbS
548,SbIr
549,BaBrCl
550,V5SiB2
551,CrFeCoNi
552,LiMo2P2O9
553,Na3Ti2(GeO4)3
554,NaMo3P3O13
555,Na3V2(GeO4)3
556,H6RuCI3N
557,NaMn3P3O13
558,LiCr3P3O13
559,NaV3P3O13
560,ThGe2
561,SmCu(WO4)2
562,LiTi3P3O13
563,Li3Cr2(GeO4)3
564,TmNi4B
565,U2(Ni7B2)3
566,Zn3(Ni10B3)2
567,UB2Os3
568,Sc3BPb
569,TmBPd3
570,YbBPd3
571,VS2
572,VS2
573,BeGeP2
574,Sr3AsP
575,Ba3PN
576,Ca3SbAs
577,Ca3BiAs
578,Ca3Sb2
579,Ca3P2
580,Ca3SbN
581,Ba3BiN
582,Ca3SbP
583,Ba3P2
584,Sr3P2
585,Sr3AsP
586,Sr3PN
587,Sr3AsN
588,Ba3SbN
589,Ca3BiP
590,Sr3As2
591,Ba3As2
592,Sr3SbAs
593,Ba3SbAs
594,Ba3BiAs
595,Sr3BiAs
596,Na2CoP2O7
597,Na2CoP2O7
598,Ba3Sb2
599,Sr3Sb2
600,Ba3BiSb
601,Sr3BiSb
602,Ba3AsP
603,Sr3Bi2
604,Sr3SbP
605,Na2CoP2O7
606,Ti2ReB2
607,Ca3AsP
608,Sr3BiP
609,Ba3BiP
610,UB2Ru3
611,Ca3BiSb
612,Sr3BiSb
613,Ba3BiSb
614,Cd4SF6
615,Cd5(S2Cl)2
616,Ca3BiSb
617,Ba3AsN
618,Ca3Bi2
619,Ba3Bi2
620,Ba3SbP
621,Li3Ti2(GeO4)3
622,Sn4SF6
623,Sn5(S2Cl)2
624,LiTi2P2O9
625,Na3Co2(GeO4)3
626,Li3Ge3(MoO6)2
627,Li3Ni2(GeO4)3
628,Na3Ge3(MoO6)2
629,Y(BRu)4
630,Li3Co2(GeO4)3
631,Na3Ni2(GeO4)3
632,NaCo3P3O13
633,Na3Mn2(GeO4)3
634,NaMo2P2O9
635,Li3Fe2(GeO4)3
636,LiV2P2O9
637,Na3Fe2(GeO4)3
638,NaTi3P3O13
639,LiV3P3O13
640,LiMo3P3O13
641,LiFe3P3O13
642,Sc3SnB
643,TiSCl
644,LiFe2P2O9
645,Na2CoP2O7
646,LiCo3P3O13
647,Li3V2(GeO4)3
648,LiMn3P3O13
649,LiCr2P2O9
650,TiSF
651,LiCo2P2O9
652,LiNi2P2O9
653,ZrMn2
654,Sc3TlB
655,Mn2SiRh
656,P
657,SmB2
658,ZrB
659,ZrN
660,CsPbBr3
661,Ta3B4
662,Sn5(S2Cl)2
663,HfZn
664,Zr3ZnN
665,Ti2ZnN
666,Ti2Zn
667,TiZn
668,Hf2Zn
669,ZrZnN2
670,ZrB
671,HfZnN2
672,Hf3ZnN
673,Ti3ZnN
674,IrO2
675,Zr2N
676,C3N
677,Cr3N2
678,ZrC
679,Cr3N2
680,CrN2
681,CrN2
682,Cr3N4
683,Cr3N4
684,Cr3N4
685,Cr3N4
686,Cr3N4
687,CrN2
688,Cr3N4
689,B2W
690,Cr3N2
691,Cr3N2
692,Cr3N4
693,Li2YAl
694,YbB2
695,Cr3N4
696,CrN2
697,InSb
698,NaLi2As
699,InSb
700,CrN2
701,CrN2
702,ZrMn2
703,CrN2
704,NaLi2Sn
705,Cr3N4
706,La(SiIr)2
707,MnSbIr
708,P2Ir
709,K
710,CrN2
711,LiMg2Al
712,K3Sb
713,CrN2
714,PuGe2
715,CrN2
716,CrN2
717,CrN2
718,CrN2
719,CrN2
720,CrN2
721,CrN2
722,CrN2
723,Re2O7
724,LiMn2O4
725,KZnSb
726,HfZn16
727,Hf6Zn6N
728,TiZnN2
729,ZrZn16
730,MnHO2
731,NaMnO2
732,KMnO2
733,MgMn3O6
734,CaMn3O6
735,MgMn4O8
736,NaMnO2
737,KMn8O16
738,MgMnO2
739,NaMn4O8
740,LiMn8O16
741,KMn3O6
742,MgSiAs2
743,La3Si2
744,MgGeAs2
745,Sn3H6CNO7
746,Sn3H8C2NO7
747,Bi2H18C3(IN)9
748,LaMg3
749,CsMg3
750,SrMg6Mo
751,NaAlTe2
752,CsMg6B
753,SrMg6Nb
754,SrMg6W
755,SrMg6B
756,SrMg6B
757,CsMg6Sb
758,CsHfMg6
759,NaGaTe2
760,SrMg6C
761,SrMg6Ga
762,CsMg6Ga
763,KAlTe2
764,BaMg6W
765,CsMg6Ga
766,BaMg6B
767,NaAlSe2
768,Mg6NbC
769,BaMg6Mo
770,BaMg6B
771,BaMg6Nb
772,BaHfMg6
773,BaMg6C
774,Na3SbS4
775,BaGeO3
776,CdIrO3
777,MgTiO3
778,HgIrO3
779,CaRhO3
780,CaRuO3
781,SnHgO3
782,HgOsO3
783,HfHgO3
784,TiHgO3
785,ZrCdO3
786,TiCdO3
787,SrIrO3
788,CdRuO3
789,BaRhO3
790,HgRuO3
791,BaMnO3
792,CaVO3
793,MnCdO3
794,ZrHgO3
795,CaIrO3
796,CaHfO3
797,SiHgO3
798,CdRhO3
799,HgRhO3
800,CdSiO3
801,CdSnO3
802,CdOsO3
803,CaGeO3
804,CaOsO3
805,CdGeO3
806,VCdO3
807,MgSiO3
808,VHgO3
809,SrGeO3
810,Zr3O
811,CsMg6Mo
812,CsMg6Nb
813,HfMg6C
814,RbMg6Nb
815,RbMg6Nb
816,Na
817,Mg6CdC
818,RbMg6Mo
819,Mg6BiB
820,Mg6GaB
821,Mg6GaC
822,Li
823,NaMg6Nb
824,Mg6SiB
825,RbMg6B
826,CsMg6Si
827,Mg6SiB
828,SrSiO3
829,SrRhO3
830,HfCdO3
831,HgGeO3
832,LaMg6C
833,BaVO3
834,SrMnO3
835,CaMnO3
836,CeMg6B
837,LaMg6Si
838,KCdF3
839,TmAu
840,LuTlTe2
841,MgNiH2
842,MgTe
843,Cr3Fe
844,MgSiN2
845,Mn2CoAs
846,VCo3
847,VH
848,VPt
849,VN
850,YN
851,ZnCdSe2
852,ZnO
853,ZrCd
854,ZrIr
855,ZrOs3
856,ZrPd3
857,ZrRu3
858,ZrRh
859,ZrN
860,Ca(BeP)2
861,Ca(BH)2
862,Be3N2
863,Bi2O3
864,Bi2O3
865,CdCo3N
866,CdNi3N
867,CuNi3N
868,Dy3AlN
869,Er3AlN
870,Eu(ZnAs)2
871,Eu2O3
872,In2Se3
873,GePbO3
874,Hf2SN2
875,Ho3AlN
876,HfBRh3
877,In2Au3
878,LaPd3C
879,BaRuO3
880,LiCaF3
881,Lu3AlN
882,Mg(BeP)2
883,MgNiH3
884,Mg2ZnAs2
885,ScBPd3
886,Ni3SnN
887,LaSb
888,LiMgP
889,LiMgSbPd
890,Hg
891,TiMo3
892,TiAg
893,Tc3N
894,SrCaO2
895,Li2SbPd
896,Li2MgSi
897,TiFeCoGe
898,Ti2InNi
899,Ti2MnGe
900,Ti2AlNi
901,Sc2MnSn
902,PbS
903,NiAgSe2
904,NbCo3
905,NbInS2
906,Mn3Sn
907,MnFeCoGe
908,LuAgO2
909,LiAg
910,VN
911,TiS
912,CuPd
913,Sr2SO
914,KInO2
915,SrCdO2
916,AgRhO2
917,MgSe
918,Ti2MnIn
919,UBi
920,Ti2InCo
921,Rb
922,MnGaFe2
923,LaSn
924,LaNiC2
925,LaN
926,CrC
927,KTiS2
928,HoFeC2
929,InCu
930,HfPt3
931,HfIr
932,HfNi
933,HfBe
934,GaSb
935,GaCo2Ni
936,FeH3
937,FeSnRh2
938,ErH3
939,ErFeC2
940,DyFeC2
941,CrSnRh2
942,CrFe3
943,CrFe2Si
944,Ti2InFe
945,MnFe2Ge
946,KTiS2
947,HoGa
948,GaFeNi2
949,Ga2BiAs
950,ErGa
951,CrGaP2
952,CrCo2Bi
953,CrFe3
954,CrCo2Sb
955,CrCdTe2
956,CrAgTe2
957,CoSnRh2
958,CePd
959,CeAu
960,CaZnSe2
961,CaGaSiH
962,CaGaSnH
963,CaGaGeH
964,BaGaSnH
965,BaGaGeH
966,Ba2NF
967,BaCaO2
968,Ba2BrN
969,Ba2NCl
970,LiSiNi2
971,AlSb
972,AlCo3
973,ZrPd2
974,ZrAu2
975,Zr2Cd
976,Zr2Zn
977,YbBiPt
978,ZrTe2
979,YSb2
980,YAu2
981,PbS
982,NbInSe2
983,CeRh
984,TmSbPd
985,TmSb2
986,TiPd2
987,Tm
988,TiAu2
989,Ti2Rh
990,Ti2Re
991,GaBi
992,ScAg2
993,Pt2W
994,PaC2
995,LuAg2
996,AlBi
997,LiHPd
998,Li
999,LiCdAs
1000,LaBiPt
1001,KEuS2
1002,VI2
1003,HoNiBi
1004,MgNi
1005,BaC2
1006,NbN
1007,LaH3
1008,MnSn
1009,GdCoC2
1010,EuPd
1011,ScAu2
1012,ScCu2
1013,NbTe2
1014,NbPd2
1015,LuAu2
1016,HfAu2
1017,Hf2Hg
1018,Hf2Cd
1019,CrN
1020,ErSb2
1021,PmN
1022,CrNiSb
1023,CeBiPt
1024,AlTc2
1025,ThAu
1026,GdFeC2
1027,EuC2
1028,Ba2Zn
1029,AlAu2
1030,LiZnP
1031,GaP
1032,CeGa
1033,MgSbPd
1034,MgSbPt
1035,Mg3ZnC
1036,PuSi2
1037,ScBPt3
1038,YPd3C
1039,Ca(BeAs)2
1040,Dy(CuS)2
1041,Ho(CuS)2
1042,LaBPt3
1043,Lu(CuS)2
1044,ScPd3C
1045,Tb(CuS)2
1046,Tb3AlN
1047,TiSnO3
1048,Tm(CuS)2
1049,Tm3AlN
1050,Y(CuS)2
1051,YBPd3
1052,YBPt3
1053,YbH3Pd
1054,YbNiH3
1055,AuN2
1056,BC5
1057,Ba2ClF3
1058,Ba2H3I
1059,KCdSb
1060,BaMgPb
1061,BaMgSn
1062,Ca2H3Br
1063,CaBiAu
1064,CaCoSi
1065,CeO2
1066,CeCoSi
1067,CePbAu
1068,CeSbPd
1069,CeS2
1070,CeO2
1071,CeSe2
1072,CeSi2Mo2C
1073,CeTeCl
1074,CeTlCd
1075,CeTlZn
1076,CeZnGa
1077,CoAs2
1078,CoPPd
1079,DyAlZn
1080,DyS2
1081,CeSbAu
1082,DyScSb
1083,CsHSO3
1084,DyTe2
1085,DyTlZn
1086,DyZnIn
1087,DyZnGa
1088,DySe2
1089,Er2Mg3Ru
1090,ErCuSn
1091,ErH2
1092,ErS2
1093,ErTlZn
1094,ErZnIn
1095,ErZnGa
1096,Eu2H3Br
1097,ErTe2
1098,Eu2H3Cl
1099,ErZnGa
1100,EuBiAu
1101,EuCdPb
1102,EuCdSn
1103,EuHgPb
1104,EuZnGe
1105,TeIr
1106,EuO2
1107,EuSnHg
1108,EuZnGe
1109,EuZnGe
1110,GdAlZn
1111,GdCuPb
1112,GdS2
1113,GdSe2
1114,GdTlZn
1115,Hf2GaSb3
1116,GdZnIn
1117,HfGa4Co
1118,HfCuSn
1119,HfGaCu
1120,Hf5Pb
1121,HfN2
1122,HfSb2
1123,HfTa2N3
1124,HfTaNO3
1125,HfVSi
1126,HfO2
1127,HgSe
1128,HoCo3Cu2
1129,HoCuSn
1130,HoFeSi
1131,HfVGe
1132,HoS2
1133,HoSe2
1134,HoZnIn
1135,In2Cu
1136,HoSI
1137,HoTe2
1138,BaTi2As2O
1139,KCdAs
1140,KMgP
1141,LaAl2BRu2
1142,KMnBi
1143,LaCoSi
1144,LaCuPb
1145,LaNi2Rh3
1146,LaNi3Rh2
1147,LaPbAu
1148,LaSbPd
1149,LaGe2Ir3
1150,LaSbTe
1151,LaS2
1152,LaTeCl
1153,LaTlCd
1154,LaTlZn
1155,LaZnGa
1156,LaZnIn
1157,Li3CeSb2
1158,Li3CeBi2
1159,Li3DySb2
1160,Li3HoSb2
1161,Li3LaAs2
1162,Li3LaBi2
1163,Li3NdSb2
1164,Li3PrBi2
1165,Li3PrSb2
1166,Li3SmBi2
1167,Li3SmSb2
1168,Li3YBi2
1169,LiBeB
1170,LiCe(CuP)2
1171,LiMnSb
1172,LiO2
1173,LiY(CuP)2
1174,LuS2
1175,LuSe2
1176,Mg2Ge
1177,Mg2Sn
1178,Mg2Si
1179,MgAgSb
1180,MgCuGe
1181,MgSc3Ru2
1182,Fe3S4
1183,MnCuAs
1184,MnGaGe
1185,MnCoSb
1186,MnS2
1187,MoSeS
1188,MoSe2
1189,MgCoGe
1190,MoS2
1191,Na2Cl
1192,NbGeSb
1193,NbGeAs
1194,NdCoP
1195,NdSbTe
1196,NdSbPd
1197,NdSe2
1198,NdTeCl
1199,NdTlCd
1200,NdTlZn
1201,NdZnIn
1202,NiPRh
1203,NpSbTe
1204,NdPbAu
1205,NdGeAu
1206,NpSeO
1207,NpTe2
1208,OsN
1209,PaSb2
1210,PdO2
1211,PdCl2
1212,PaP2
1213,PdCl2
1214,PrCoSi
1215,PrCuSn
1216,PrFeSi
1217,PrPbAu
1218,PrCoP
1219,PrSbPd
1220,LiTiTe2
1221,PrCuPb
1222,PrSbPt
1223,PrSbTe
1224,PrSe2
1225,PrTeCl
1226,PrTlCd
1227,PrZnGa
1228,Re2N
1229,RbMnBi
1230,PrZnIn
1231,PuSbTe
1232,PuSe2
1233,YNi2
1234,Lu
1235,ReN
1236,ReC2
1237,ReN2
1238,ReN2
1239,ReN2
1240,ReN2
1241,CN2
1242,CaSnHg
1243,KMgAs
1244,LaSe2
1245,PaP2
1246,PrGeAu
1247,SmCoP
1248,Lu2MgSe4
1249,SmFeSi
1250,SmGeAu
1251,SmMnSi
1252,SmSbPd
1253,CaSnHg
1254,KMgBi
1255,PuTe2
1256,SmCoSi
1257,SmGeRu
1258,SmPbAu
1259,SmSbTe
1260,LuP
1261,Pd2N
1262,PdN2
1263,SmSe2
1264,SmTlCd
1265,SmTlZn
1266,SmZnGa
1267,SrF2
1268,SrSnHg
1269,SmTe2
1270,Sr2H3I
1271,Ta2TiN3
1272,TaN2
1273,TbCuSn
1274,TaSe2
1275,SrHgPb
1276,TbGeAu
1277,SrZnSn
1278,SrZnPb
1279,LuPPt
1280,TbSbPd
1281,Tc2N
1282,TcB2
1283,TcN
1284,Te2W
1285,Th2HN3
1286,TbTe2
1287,ThAsSe
1288,ThAsS
1289,ThSbSe
1290,ThPSe
1291,ThSbTe
1292,ThBiTe
1293,ThTeAs
1294,Al(PO3)3
1295,Al3GaN4
1296,AlB3N4
1297,Al3BN4
1298,Al7Si3BO18
1299,LuSbPt
1300,AlGa3N4
1301,B2S2O9
1302,AlPO4
1303,AlPO4
1304,AlPO4
1305,AlPO4
1306,AlPO4
1307,Ba3Ga3N5
1308,Ba4GaN3O
1309,Ba4Mg(SiN3)2
1310,Ba2CaSi4(BO7)2
1311,Ba2NaO
1312,Ba3Ca2(SiN3)2
1313,Ba3MgGeN4
1314,Ba2B10O17
1315,Ba3NaY3(Si3O10)2
1316,Ba3P6(N4O3)2
1317,Ba3ZnB5PO14
1318,Ba3Si2(B3O8)2
1319,Ba3Y2(B2O5)3
1320,Ba2Mg(BO2)6
1321,Ba8Al10B12O41
1322,Ba2P2O7
1323,BaAl2Si3(NO)4
1324,BaAl4O7
1325,Ba9Y2(SiO4)6
1326,BaAl4O7
1327,BaAl2(SiO4)2
1328,BaAlSi4N5O3
1329,BaB2S3O13
1330,BaCa3O4
1331,BaCaB2O5
1332,BaCaP2O7
1333,BaZrO3
1334,Be(PN2)2
1335,BaY4Si5O17
1336,BaLi2Mg(PO4)2
1337,BaGe(S2O7)3
1338,BaMg2Si2O7
1339,BeGeN2
1340,BaNa2Mg(PO4)2
1341,Ca16(SiN2)17
1342,BaNaB5O9
1343,BaNaLi3(BO2)6
1344,BaS4O13
1345,BaSr2Mg(SiO4)2
1346,Ca2B2O5
1347,Ca2B2O5
1348,Ca2GeO4
1349,Ca2SiO4
1350,Ca2SiO4
1351,Ca6Ge2O
1352,Ca3Ga2(GeO4)3
1353,Ca3ZnGe5O14
1354,CaAl2SiO6
1355,Ca10Ge16(B2O17)3
1356,Ca8Si5O18
1357,CaAl2SiO6
1358,CaAl2SiO6
1359,Ca4Al6SO16
1360,Ca4SiN4
1361,Ca5(SiN3)2
1362,CaMg3SiN4
1363,CaMg(SiO3)2
1364,CaS3O10
1365,CaAl2SiO6
1366,CaAl2SiO6
1367,CaAl2SiO6
1368,CaAl2SiO6
1369,Ce3Zr5O16
1370,Ce3ZrO8
1371,Ce2B8O15
1372,Ce(PO3)4
1373,Ce5Zr3O16
1374,CeZrO4
1375,Ce4B14O27
1376,CeGaO3
1377,CePO4
1378,Ta2N
1379,CeZr3O8
1380,CeZr7O16
1381,Cs2Al2B2O7
1382,Cs2BaP2O7
1383,Cs2B2S3O13
1384,Cs2Ba3(P2O7)2
1385,Cs2Li2B2P4O15
1386,Cs2Li5(BO2)7
1387,Cs3BO3
1388,Cs2Sr2Li3B3(PO4)6
1389,Cs2MgSi5O12
1390,Cs2Na2Sr(B3O5)6
1391,Cs4ZnO3
1392,Cs3Y(PO4)2
1393,Cs3Li4(BO2)7
1394,ZrO
1395,CsBaLiP2O7
1396,CsB5O8
1397,Cs4Si3O8
1398,CsCa10(PO4)7
1399,CsLi(B3O5)2
1400,CsLi4(BO2)5
1401,CsBS3O11
1402,CsBe4(BO3)3
1403,CsSi2BO6
1404,CsZr2Al(PO4)4
1405,CsMgBO3
1406,CsZn4(BO3)3
1407,LiEuO2
1408,CsY(PO3)4
1409,EuMg3SiN4
1410,NaEuGeO4
1411,RbEu(PO3)4
1412,Eu3AlO5
1413,EuZn(BO2)5
1414,EuAl3(BO3)4
1415,EuAl2O4
1416,Eu(NO3)3
1417,EuBN2
1418,BaNaEu(SiO3)3
1419,CsEu(PO3)4
1420,KEu(PO3)4
1421,BaEu2O4
1422,Eu2Ge(BO4)2
1423,GaB3N4
1424,HeSiO2
1425,HeSiO2
1426,Ga3BN4
1427,K2Al2Si3O10
1428,K2Ca3Si3O10
1429,K2Ca4Si8O21
1430,K2Ca3Si3O10
1431,K2CeAl(SiO3)4
1432,K2Ge(S2O7)3
1433,K2La2B2O7
1434,K2Li3B(P2O7)2
1435,K2Mg2Si2O7
1436,K2Na3P3O10
1437,K2LiB(PO4)2
1438,K2S2O3
1439,K2SN2O5
1440,K2Si(S2O7)3
1441,K3Zn(BO2)5
1442,K2NaZn(BO2)5
1443,K4Al3(SiO4)3
1444,K3B(SO4)3
1445,K2Zn(PO3)4
1446,K2ZrSi2O7
1447,K3La(PO4)2
1448,K3LiP2O7
1449,K4P2O7
1450,K5B(SO4)4
1451,K8NO3
1452,Mn3PdN
1453,K8PO3
1454,KAl(PO3)4
1455,KAl9O14
1456,KB(SO4)2
1457,KB(S2O7)2
1458,KMg6P7O24
