formula,prediction,density,Peak Score
Re3N,356.742,14.502,1.000
IrN,337.515,23.994,0.939
OsN,354.702,24.247,0.905
B2Os,341.165,11.317,0.884
ReC,357.031,14.614,0.870
Re3W,357.077,26.827,0.858
WC,359.749,14.616,0.855
FeB2,266.400,24.131,0.854
CoReB,317.814,15.603,0.853
Os,360.614,25.071,0.851
