formula,Density Score,Peak Score
MoC,1.000,0.959
Mo2C,0.984,0.876
B2W,0.982,0.949
BOs,0.950,1.000
TaN,0.946,0.975
B2Mo,0.942,0.895
UB2Os3,0.939,0.975
BMo,0.925,0.846
TaMoN,0.924,0.868
Co(BW)2,0.921,0.877
RuC,0.893,0.887
Re3Pt,0.875,0.886
