formula,prediction,density,Density Score
MoC,353.052,16.959,1.000
Mo2C,321.416,6.640,0.984
B2W,338.219,13.991,0.982
BOs,343.437,21.984,0.950
TaN,328.614,16.436,0.946
B2Mo,320.678,13.915,0.942
UB2Os3,300.542,6.014,0.939
BMo,320.581,16.966,0.925
TaMoN,294.608,6.157,0.924
Co(BW)2,319.028,16.987,0.921
