formula,Density Score,Peak Score
ReB2,3.014,2.671
Re3W,2.950,2.983
B2W,2.902,2.708
TaN,2.884,2.863
MoN,2.882,2.261
Ir,2.859,2.898
B2Mo,2.819,2.560
Co(BW)2,2.784,2.307
BMo,2.775,2.144
Re3Ru,2.707,2.504
TaMoN,2.623,2.290
Re3Pt,2.612,2.410
B2Ru,2.557,1.783
UB2Os3,2.539,2.385
TaB2,2.530,2.490
BOs,2.454,2.584
Cr2N,2.434,1.734
IrW,2.420,2.411
Ni(BMo)2,2.395,1.614
CrWN2,2.328,1.342
Ru3W,2.327,1.954
Nb4N3,2.326,1.896
NbIr3,2.295,2.153
Ta3N5,2.224,1.607
PuOs2,2.219,1.900
HfCo3B2,2.213,1.962
SiMo3,2.167,1.838
WO2,2.153,3.060
CoMoP,2.143,1.989
LiIr3,2.133,1.972
Rh3W,2.105,1.849
DyB2Ir3,2.066,1.550
W,2.061,1.495
AlCr3B4,2.030,1.211
FeRe,2.007,2.404
SiIr3,1.998,2.921
PW,1.994,0.721
PrB2Ir3,1.981,1.468
CoW,1.972,2.403
V2C,1.967,1.108
Co2Mo3N,1.963,1.912
MnB4,1.935,2.566
IrO2,1.931,2.475
V2CN,1.887,1.097
Nb2C,1.880,1.122
YB2Ru3,1.869,1.082
LiNbIr2,1.863,1.415
B12W,1.859,1.898
CoN,1.835,1.816
V2ReOs,1.824,1.971
Cr3GaN,1.805,1.020
PuRu2,1.800,1.150
NbCrSi,1.796,1.144
TaMn2,1.794,1.994
MoPt2,1.775,1.636
NiN,1.775,2.060
LuOs2,1.774,1.455
MnNbP,1.768,1.538
Ta2OsW,1.766,1.974
Ti3B4,1.759,0.740
V2O3,1.740,2.048
LuTaOs2,1.735,1.316
VPt3,1.731,1.617
TiNbN2,1.729,0.797
Mn2Nb,1.721,1.786
TaCuN2,1.719,1.346
Zr3N4,1.714,1.046
Ta5Si3,1.712,1.368
HfPRu,1.688,1.628
Co3W,1.684,2.045
HoNbOs2,1.682,1.125
V2P,1.680,0.703
NbPt3,1.678,1.581
PaC,1.671,1.741
TaCr2,1.657,1.894
SiOs,1.653,1.441
Ce(Re2Si)2,1.653,0.924
ScOs3,1.650,1.546
Hf2N,1.642,1.339
SmB2Rh3,1.640,1.010
Pr2(ReB2)3,1.628,1.485
ZrOs2,1.624,1.666
U(Cr3P2)2,1.619,0.583
Fe3Re,1.619,1.915
TaTiOs2,1.597,2.048
V3Re,1.589,1.592
V3AsC,1.577,0.590
Zr5N5O2,1.570,1.357
Cr2GeC,1.561,0.604
Hf2Al4C5,1.545,1.299
Nb4AlC3,1.539,1.033
DyRh3C,1.538,1.053
Ti2N,1.536,1.004
LaOsN3,1.529,1.474
Si3N4,1.528,2.215
Ta2VOs,1.527,1.588
PaB3,1.525,1.892
ErTaRu2,1.515,0.929
TiPt8,1.510,1.206
TaNi2,1.508,1.553
TaAlOs2,1.473,1.829
VSiRu2,1.430,1.575
YAl3O6,1.396,1.445
Cr3Co,1.394,1.557
ZrSiO,1.387,1.739
VRu,1.378,1.473
UO,1.346,1.545
ThB2C,1.340,1.563
Ta2MnOs,1.333,1.943
TaBeRu2,1.266,1.563
Ta2Co,1.233,1.704
TaFeRu2,1.209,1.686
Mg(MoO2)2,1.201,1.646
Ta2Ni,1.171,1.723
CrCo2Si,1.162,1.492
NiH,1.120,1.846
UO3,1.108,1.751
Be2B,1.088,1.504
CoPt3,1.009,1.807
MnSiIr,1.003,1.861
Fe4N,0.964,1.634
TiZnIr2,0.923,1.452
MnIr,0.887,2.618
AlPt3,0.804,1.623
MnPt3,0.797,1.566
Mn5Si3,0.751,1.616
ZnPt3,0.718,1.491
AlPt2,0.564,1.561
CoPt,0.465,1.489
AlOs,0.354,1.553
Be2IrPt,0.351,1.640
MnPt,0.121,1.430
