formula,prediction,density,Density Score
ReB2,336.350,16.313,3.014
Re3W,367.640,34.247,2.950
B2W,326.517,16.274,2.902
TaN,323.159,15.393,2.884
MoN,322.100,14.964,2.882
Ir,353.709,31.333,2.859
B2Mo,318.979,16.104,2.819
Co(BW)2,311.754,14.098,2.784
BMo,312.763,14.968,2.775
Re3Ru,355.080,38.439,2.707
TaMoN,286.301,8.517,2.623
Re3Pt,347.958,38.968,2.612
B2Ru,296.656,16.375,2.557
UB2Os3,275.627,6.909,2.539
TaB2,292.649,15.550,2.530
BOs,319.162,31.677,2.454
Cr2N,269.966,8.600,2.434
IrW,333.830,40.237,2.420
Ni(BMo)2,278.511,14.380,2.395
CrWN2,273.942,15.020,2.328
Ru3W,310.632,32.897,2.327
Nb4N3,265.098,10.810,2.326
NbIr3,310.626,34.265,2.295
Ta3N5,258.204,11.778,2.224
PuOs2,250.400,8.187,2.219
HfCo3B2,246.370,6.468,2.213
SiMo3,258.401,14.287,2.167
WO2,284.754,27.686,2.153
CoMoP,257.091,14.657,2.143
LiIr3,239.441,6.483,2.133
Rh3W,289.183,31.881,2.105
DyB2Ir3,235.529,7.421,2.066
W,289.062,33.665,2.061
AlCr3B4,243.119,12.628,2.030
FeRe,300.271,41.387,2.007
SiIr3,306.433,44.763,1.998
PW,244.688,14.913,1.994
PrB2Ir3,227.613,7.153,1.981
CoW,297.211,41.393,1.972
V2C,229.138,8.522,1.967
Co2Mo3N,268.669,27.885,1.963
MnB4,264.741,27.184,1.935
IrO2,272.527,31.138,1.931
V2CN,236.102,15.282,1.887
Nb2C,221.334,8.388,1.880
YB2Ru3,218.479,7.455,1.869
LiNbIr2,215.768,6.424,1.863
B12W,249.875,23.166,1.859
CoN,252.646,25.533,1.835
V2ReOs,282.194,40.370,1.824
Cr3GaN,217.890,9.898,1.805
PuRu2,213.912,8.190,1.800
NbCrSi,214.499,8.647,1.796
TaMn2,249.920,25.932,1.794
MoPt2,259.983,31.621,1.775
NiN,247.179,25.419,1.775
LuOs2,211.937,8.331,1.774
MnNbP,223.907,14.379,1.768
Ta2OsW,275.546,39.582,1.766
Ti3B4,219.283,12.537,1.759
V2O3,215.868,11.675,1.740
LuTaOs2,206.123,7.131,1.735
VPt3,256.820,31.957,1.731
TiNbN2,222.663,15.417,1.729
Mn2Nb,237.695,23.077,1.721
TaCuN2,206.183,7.833,1.719
Zr3N4,215.397,12.520,1.714
Ta5Si3,208.156,9.120,1.712
HfPRu,215.440,13.642,1.688
Co3W,263.587,37.226,1.684
HoNbOs2,201.592,7.158,1.682
V2P,204.252,8.569,1.680
NbPt3,253.287,32.505,1.678
PaC,214.452,13.893,1.671
TaCr2,244.435,29.054,1.657
SiOs,249.123,31.513,1.653
Ce(Re2Si)2,196.204,5.789,1.653
ScOs3,261.423,37.641,1.650
Hf2N,200.178,8.191,1.642
SmB2Rh3,198.118,7.284,1.640
Pr2(ReB2)3,201.858,9.603,1.628
ZrOs2,269.602,42.692,1.624
U(Cr3P2)2,197.588,7.908,1.619
Fe3Re,256.743,36.679,1.619
TaTiOs2,272.599,45.317,1.597
V3Re,249.429,34.398,1.589
V3AsC,198.222,9.968,1.577
Zr5N5O2,198.785,10.545,1.570
Cr2GeC,207.276,15.077,1.561
Hf2Al4C5,191.768,8.205,1.545
Nb4AlC3,206.462,15.587,1.539
DyRh3C,195.333,10.224,1.538
Ti2N,191.089,8.239,1.536
LaOsN3,196.609,11.221,1.529
Si3N4,232.285,28.615,1.528
Ta2VOs,252.067,38.304,1.527
PaB3,194.966,10.598,1.525
ErTaRu2,187.179,7.220,1.515
TiPt8,236.314,31.326,1.510
TaNi2,228.836,27.781,1.508
