formula,prediction,density,Density Score
TaMoN,297.991,8.517,1.829
UB2Os3,269.346,6.909,1.738
Cr2N,273.419,8.600,1.679
ReB2,336.097,16.313,1.676
B2W,334.310,16.274,1.667
HfCo3B2,252.496,6.468,1.659
TaN,325.151,15.393,1.656
BMo,318.975,14.968,1.640
MoN,318.355,14.964,1.636
Co(BW)2,304.596,14.098,1.597
LiIr3,237.572,6.483,1.570
B2Mo,313.816,16.104,1.554
DyB2Ir3,241.739,7.421,1.549
Nb4N3,265.513,10.810,1.525
CrWN2,296.099,15.020,1.501
PrB2Ir3,231.160,7.153,1.499
PuOs2,238.605,8.187,1.493
TaB2,293.026,15.550,1.457
Ni(BMo)2,279.375,14.380,1.433
YB2Ru3,219.602,7.455,1.415
LiNbIr2,209.327,6.424,1.405
Ta3N5,250.627,11.778,1.389
B2Ru,288.001,16.375,1.387
Ce(Re2Si)2,200.588,5.789,1.384
AlCr3B4,256.006,12.628,1.380
NbCrSi,220.886,8.647,1.365
Nb2C,218.691,8.388,1.365
LuTaOs2,206.434,7.131,1.353
HoNbOs2,206.053,7.158,1.349
V2C,217.136,8.522,1.349
Cr3GaN,225.119,9.898,1.329
PuRu2,208.628,8.190,1.314
LuOs2,209.340,8.331,1.312
SmB2Rh3,198.640,7.284,1.299
CoMoP,258.180,14.657,1.294
Hf2N,203.785,8.191,1.286
SiMo3,253.045,14.287,1.281
Ta5Si3,207.516,9.120,1.263
TaCuN2,196.501,7.833,1.260
ErTaRu2,190.386,7.220,1.253
U(Cr3P2)2,194.927,7.908,1.247
Ti3B4,232.326,12.537,1.243
Pr2(ReB2)3,208.230,9.603,1.243
Ti2N,196.828,8.239,1.242
ErRu3,191.450,7.746,1.234
V2P,194.900,8.569,1.214
ZrNbP,187.976,7.798,1.211
HoTaRu2,183.305,7.241,1.210
LaOs2,190.290,8.204,1.205
NbCrGe,192.120,8.680,1.193
Hf2Al4C5,187.175,8.205,1.186
LiSi2N3,171.638,6.314,1.186
YTaRu2,179.033,7.221,1.186
TiNbN2,246.235,15.417,1.186
V2CN,244.245,15.282,1.181
TmNbRu2,176.734,7.165,1.175
Ta3Sb,186.663,8.500,1.169
MgTaN2,179.610,7.828,1.160
YNbRu2,174.567,7.216,1.160
V2O3,210.701,11.675,1.157
ScCoC2,176.636,7.535,1.156
HoSi2Rh3,175.139,7.537,1.147
LiZr2Re,124.641,1.486,1.142
MnNbP,229.542,14.379,1.137
DyRh3C,195.062,10.224,1.135
Zr3N4,211.715,12.520,1.122
MgTiN2,172.909,7.795,1.122
Zr5N5O2,195.384,10.545,1.121
V3AsC,190.389,9.968,1.120
NdSi2Rh3,167.573,7.233,1.117
LiTiRh2,159.713,6.441,1.109
DyB2Rh2C,189.483,10.092,1.108
CaAl2O4,160.589,6.574,1.108
Sm2AlNO3,157.956,6.274,1.107
TbB2Rh2C,188.911,10.132,1.103
PaO2,194.110,10.840,1.099
HfPRu,216.630,13.642,1.096
PrRe2,172.845,8.401,1.092
TaBe2,175.276,9.286,1.063
PrRh3C,177.347,9.626,1.059
PW,219.689,14.913,1.053
Pr2AlNO3,149.047,6.336,1.051
CeRu2,163.828,8.227,1.047
LaWN3,187.851,11.197,1.045
WO2,323.039,27.686,1.044
ScSi3Ni2,150.193,6.647,1.043
TbInPt4,167.253,8.757,1.041
YAl3O6,181.858,10.592,1.038
DyInPt4,166.934,8.809,1.037
Ti2C,162.278,8.320,1.033
LiHfRh2,146.711,6.424,1.033
PaB3,180.735,10.598,1.031
ThB6,172.163,9.650,1.027
Zn2ReN3,149.574,6.928,1.025
LaB6,172.327,9.708,1.025
YRu2,165.745,9.146,1.013
EuRh3C,174.866,10.326,1.010
CeBPt3,169.451,9.893,0.999
Zn2MoN3,145.014,6.937,0.998
Re3W,368.976,34.247,0.998
