formula,Density Score,Peak Score
TaMoN,1.829,-1.053
UB2Os3,1.738,-0.641
Cr2N,1.679,-1.665
ReB2,1.676,-1.674
B2W,1.667,-1.262
HfCo3B2,1.659,-0.608
TaN,1.656,-1.035
BMo,1.640,-2.031
MoN,1.636,-2.116
Co(BW)2,1.597,-1.924
LiIr3,1.570,-0.436
B2Mo,1.554,-1.469
DyB2Ir3,1.549,-1.062
Nb4N3,1.525,-1.213
CrWN2,1.501,-2.202
PrB2Ir3,1.499,-0.995
PuOs2,1.493,-0.899
TaB2,1.457,-0.893
Ni(BMo)2,1.433,-2.195
YB2Ru3,1.415,-1.555
LiNbIr2,1.405,-0.839
Ta3N5,1.389,-1.692
B2Ru,1.387,-2.364
Ce(Re2Si)2,1.384,-1.147
AlCr3B4,1.380,-1.925
NbCrSi,1.365,-1.281
Nb2C,1.365,-1.557
LuTaOs2,1.353,-0.737
HoNbOs2,1.349,-1.000
V2C,1.349,-1.896
Cr3GaN,1.329,-1.667
PuRu2,1.314,-1.192
LuOs2,1.312,-0.590
SmB2Rh3,1.299,-1.092
CoMoP,1.294,-0.898
Hf2N,1.286,-0.533
SiMo3,1.281,-1.213
Ta5Si3,1.263,-0.715
TaCuN2,1.260,-0.765
ErTaRu2,1.253,-0.964
U(Cr3P2)2,1.247,-2.072
Ti3B4,1.243,-2.155
Pr2(ReB2)3,1.243,-0.160
Ti2N,1.242,-0.896
ErRu3,1.234,-0.994
V2P,1.214,-1.971
ZrNbP,1.211,-1.134
HoTaRu2,1.210,-1.108
LaOs2,1.205,-0.964
NbCrGe,1.193,-1.490
Hf2Al4C5,1.186,-0.221
LiSi2N3,1.186,-0.026
YTaRu2,1.186,-1.016
TiNbN2,1.186,-1.937
V2CN,1.181,-1.841
TmNbRu2,1.175,-0.982
Ta3Sb,1.169,-0.112
MgTaN2,1.160,-0.912
YNbRu2,1.160,-1.139
V2O3,1.157,0.394
ScCoC2,1.156,-0.671
HoSi2Rh3,1.147,-1.309
LiZr2Re,1.142,-0.067
MnNbP,1.137,-0.775
DyRh3C,1.135,-0.920
Zr3N4,1.122,-1.560
MgTiN2,1.122,-0.989
Zr5N5O2,1.121,-0.408
V3AsC,1.120,-2.012
NdSi2Rh3,1.117,-1.205
LiTiRh2,1.109,-0.983
DyB2Rh2C,1.108,-1.073
CaAl2O4,1.108,0.470
Sm2AlNO3,1.107,-0.021
TbB2Rh2C,1.103,-1.080
PaO2,1.099,-0.059
HfPRu,1.096,-0.363
PrRe2,1.092,-0.973
TaBe2,1.063,-0.171
PrRh3C,1.059,-0.684
PW,1.053,-3.134
Pr2AlNO3,1.051,-0.511
CeRu2,1.047,-1.013
LaWN3,1.045,-0.137
WO2,1.044,0.597
ScSi3Ni2,1.043,-0.961
TbInPt4,1.041,-0.534
YAl3O6,1.038,0.204
DyInPt4,1.037,-0.564
Ti2C,1.033,-1.385
LiHfRh2,1.033,-0.952
PaB3,1.031,0.601
ThB6,1.027,-0.843
Zn2ReN3,1.025,-0.589
LaB6,1.025,-0.841
YRu2,1.013,-1.183
EuRh3C,1.010,-0.987
CeBPt3,0.999,-0.436
Zn2MoN3,0.998,-0.641
Re3W,0.998,-1.944
UO3,0.975,1.432
Lu8Te,0.811,0.865
ScF3,0.700,0.990
Li2GeN2,0.605,0.981
NiH,0.603,0.954
Li2Pt,0.560,0.942
Er2Pt,0.554,0.865
Na2Pd3O4,0.514,1.076
Li2SiO3,0.511,0.959
LiCaRh,0.503,0.823
Li3Th,0.495,0.974
LiBO2,0.494,1.181
Eu,0.482,0.882
CrOF3,0.437,1.240
Ba(CuO)2,0.435,0.795
CaB2,0.427,0.943
CsCa3,0.418,0.876
Li3Sm,0.409,0.838
BaSr3,0.409,0.864
RbCa3,0.403,0.848
Ba,0.398,0.840
Rb7Au5O2,0.388,0.822
NaLiO,0.386,0.835
BaNa2,0.377,0.892
ErTlO2,0.361,0.818
Rb3Na,0.338,0.897
Rb,0.327,0.876
YCo3,0.270,0.905
EuClO,0.218,0.945
Pt(SCl3)2,0.204,0.838
UF6,0.194,0.892
ScBi3,0.190,0.925
FeF3,0.188,0.841
Li3Cd,0.185,0.791
Li2O2,0.159,0.931
RuF6,0.159,0.906
MgVF5,0.125,0.821
K3Hg,0.120,0.894
K3As,0.118,0.856
K3Sn,0.112,0.826
K3Cd,0.105,0.871
Rb3Sb,0.103,0.830
CsK2Sb,0.096,0.852
Li2NbF6,0.088,0.825
LiFeP,0.087,0.794
K3P,0.084,0.796
Rb3Cd,0.076,0.853
AcBr3,0.067,0.840
PrBr3,0.056,0.841
TiI4,0.002,0.827
DyBr3,0.000,0.936
NdI3,-0.005,0.880
NaF,-0.009,0.867
SmI3,-0.012,0.919
YBr3,-0.014,0.949
MoBr3,-0.022,0.854
HfBr3,-0.035,0.964
K2GeF6,-0.047,0.931
HF,-0.047,1.102
Rb2TiCl6,-0.076,0.824
Rb2GeF6,-0.087,0.892
CsF,-0.094,0.832
K2PtCl6,-0.103,0.836
Rb2PdCl6,-0.109,0.846
Rb2PdBr6,-0.113,0.903
Cs2PtCl6,-0.115,0.851
Rb2WBr6,-0.117,0.893
SbF3,-0.124,1.117
H5CNO2,-0.126,0.987
Cs2PtI6,-0.128,0.895
Cs2PdI6,-0.133,0.883
Cs2PbCl6,-0.144,0.863
Rb2SnBr6,-0.158,0.869
Cs2TeI6,-0.187,0.882
KNaICl,-0.193,0.817
KBr,-0.194,0.798
RbI,-0.201,0.857
SF6,-0.205,0.878
SnF4,-0.214,0.832
CsKICl,-0.218,0.842
H2,-0.225,0.851
NbTe4,-0.234,0.830
FeF2,-0.250,1.098
BCl3,-0.343,0.963
AsCl3,-0.361,0.898
AsBr3,-0.381,0.975
TiSe2,-0.398,0.903
SeCl,-0.447,0.878
KCrF3,-0.449,1.018
GeF2,-0.451,0.872
CsCoCl3,-0.517,0.799
Ge3(BiO3)4,-0.533,0.869
RbMnBr3,-0.572,0.821
Cs2ICl6F,-0.651,0.795
CsTiBr3,-0.765,0.825
HgIBr,-1.178,0.916
MnBr2,-1.194,0.871
NiBr2,-1.194,0.886
FeBr2,-1.199,0.837
Sn4Bi2Se7,-1.249,0.822
