formula,prediction,density,Peak Score
UO3,166.971,10.419,5.992
CrOF3,75.794,9.239,5.038
Ge3(BiO3)4,148.594,34.707,4.616
SbF3,46.436,16.963,4.315
NiH,181.142,18.916,4.178
FeF2,144.577,33.570,4.064
Li2SiO3,96.960,10.126,3.919
Mg(MoO2)2,171.297,13.951,3.887
ScF3,124.965,10.400,3.813
KCrF3,72.362,27.315,3.671
Na2Pd3O4,66.558,7.548,3.636
PaB3,202.044,10.598,3.577
LiBO2,90.387,12.641,3.521
WO2,297.303,27.686,3.464
Li2O2,90.683,17.347,3.440
CaB2,116.290,15.224,3.397
ZrSiO,191.185,13.119,3.259
YCo3,121.291,19.491,3.186
ThB2C,188.878,10.583,3.028
Li2GeN2,74.805,6.338,2.991
Mg(GaO2)2,164.683,45.600,2.885
V2O3,213.753,11.675,2.873
Li2Pt,70.152,6.602,2.873
Er2Pt,89.562,8.916,2.867
ErTlO2,98.461,13.958,2.820
UO,188.156,10.511,2.747
NiHO2,130.192,26.678,2.693
Ca(BeN)2,119.141,31.710,2.592
ZnO,159.316,32.924,2.589
GeF2,66.148,25.418,2.588
FeF3,68.412,13.763,2.568
PmF3,116.413,11.217,2.566
Y4Al2O9,156.792,9.521,2.559
EuClO,47.366,11.748,2.514
As2O3,146.779,30.161,2.483
LiGaO2,134.232,14.055,2.472
Zn3Co,112.774,69.507,2.457
Li3InN2,92.269,20.586,2.449
HfH3,129.868,10.330,2.447
Ba(CuO)2,86.242,10.936,2.421
CaAl2O4,163.691,6.574,2.397
U3Si,132.979,7.497,2.380
Li3Th,37.481,3.847,2.345
AlTlO2,104.218,35.562,2.308
Si3N4,237.183,28.615,2.279
YTlO2,93.344,13.959,2.227
LiCo2Ge,160.748,23.219,2.226
MnIr,257.717,73.835,2.224
MnZn,119.182,66.680,2.222
AlPO4,142.630,39.571,2.199
YAl3O6,186.428,10.592,2.184
Li2MnO2,87.747,6.115,2.159
IrO2,296.231,31.138,2.142
Ta2Ni,208.275,30.029,2.129
Lu8Te,54.554,0.117,2.126
LiFeP,95.560,21.701,2.125
Y(AlSi)2,99.868,31.513,2.125
YB2C,155.090,11.200,2.108
LiCaRh,60.655,6.629,2.098
Sm2O,80.493,1.713,2.093
MnB4,254.544,27.184,2.087
Li2ZrN2,90.703,3.512,2.080
Be2B,182.677,23.185,2.062
YBiO3,141.422,24.682,2.027
HF,12.976,13.789,2.025
VCuO2,159.462,21.029,2.024
Mn5Si3,205.762,44.714,2.018
LiFe2F6,83.194,5.797,2.012
Ca2SiH2O5,88.290,21.621,1.945
Li7SbN4,87.355,6.642,1.926
NaLiO,48.121,7.439,1.925
PaO2,204.898,10.840,1.919
ScBi3,51.936,13.036,1.886
TmB2,169.727,12.647,1.884
Er2SiO5,133.589,13.327,1.881
ThAl,80.486,47.352,1.862
Li3NbO4,89.404,5.541,1.855
PbClF,53.630,25.672,1.851
NaF,37.704,15.284,1.845
K2GeF6,26.869,14.161,1.831
Ba(SbO3)2,87.596,7.077,1.813
BeZnO2,159.283,33.284,1.802
Li2NbF6,42.244,12.937,1.791
LiCrN2,135.121,10.976,1.790
SrLiN,56.832,8.239,1.780
Ni3Se2,110.537,13.071,1.765
SiIr3,300.254,44.763,1.765
Dy(AlSi)2,95.195,30.046,1.760
Zn3Os,161.593,64.709,1.760
LuSiIr,151.701,22.342,1.757
CoSe2,110.789,35.380,1.755
Ta2Co,213.646,29.616,1.743
SmFePO,116.554,12.496,1.743
Li2TiO3,110.442,5.587,1.738
SrCu2O3,106.155,9.217,1.729
PbO,85.277,35.614,1.718
YH2,82.776,10.810,1.693
ScH3,103.501,10.396,1.691
MgGeN2,151.886,27.732,1.685
NbInS2,92.379,22.900,1.683
