formula,prediction,density,Density Score
Lu8Te,60.682,0.117,0.858
NdSc3,51.165,0.866,0.826
Rb4Br2O,15.917,0.946,0.822
K4Br2O,11.661,0.947,0.822
Na4Br2O,18.318,0.947,0.822
LiSc2Pt,90.341,1.485,0.800
LiZr2Re,129.731,1.486,0.800
Sm2O,77.823,1.713,0.790
NaTl2InF6,64.380,2.680,0.749
Ce3GaBr3,35.397,2.698,0.748
Eu,20.761,2.711,0.748
CsCa3,14.382,2.774,0.745
Ba,9.021,2.781,0.745
RbCa3,12.295,2.786,0.744
BaSr3,14.376,2.787,0.744
Ca3PCl3,35.655,2.796,0.744
SmLu3,42.905,3.235,0.725
U2Ti,113.296,3.309,0.722
CeY3,42.359,3.312,0.722
Ho6MnBi2,54.308,3.446,0.716
Li2ZrN2,101.562,3.512,0.714
Y,42.451,3.514,0.713
Na5BiO5,60.614,3.599,0.710
Li6PS5I,29.884,3.648,0.708
BaNa2,15.102,3.712,0.705
Rb3Na,9.329,3.718,0.705
Rb,6.409,3.718,0.705
Ho2C,65.417,3.826,0.700
Li3Th,41.580,3.847,0.699
Li3Sm,22.884,3.848,0.699
Y2C,60.418,3.860,0.699
LiTm3,34.767,3.875,0.698
Ba3ZnN2O,48.133,3.921,0.696
Sr6Cu3N5,55.954,3.937,0.696
Er,47.633,3.960,0.695
Pu,94.937,4.105,0.688
NaEr3,31.581,4.118,0.688
RbAsF6,24.831,4.138,0.687
Ba3FeN3,45.672,4.151,0.686
Ca3MnN3,81.061,4.197,0.684
LiAc2Si,41.790,4.225,0.683
Ca3GaN3,85.805,4.250,0.682
Sr3(GeN)2,52.586,4.262,0.682
Sr2ZnN2,69.972,4.308,0.680
Tb2Tl,51.047,4.310,0.680
Dy3Y,42.928,4.368,0.677
NdDy3,39.773,4.452,0.674
PrDy3,40.153,4.475,0.673
Rb7Au5O2,18.798,4.557,0.669
Sm2Tl,48.112,4.593,0.668
Y2Al,55.837,4.594,0.668
Sr3IrN3,58.602,4.881,0.655
Ca4VN4,79.393,4.889,0.655
Ca4ZrN4,84.513,4.893,0.655
Sr4TiN4,60.072,4.894,0.655
Sr3CrN3,55.504,4.900,0.655
Ca5(AlSb3)2,39.091,4.972,0.652
TmTh3,55.496,5.031,0.649
Na6ZnS4,27.168,5.103,0.646
La3Er,30.866,5.149,0.644
Ac,26.807,5.325,0.637
Ac3Th,36.505,5.336,0.636
Ba5Al5Pb,28.338,5.342,0.636
La,30.143,5.364,0.635
Ba5Al5Sn,27.951,5.377,0.634
SmTh3,51.857,5.389,0.634
Sc6FeSb2,73.900,5.511,0.629
Hf6NiSb2,119.096,5.511,0.629
Zr6CoAs2,114.166,5.512,0.629
Li3NbO4,78.991,5.541,0.627
Li3VO4,66.987,5.547,0.627
LiH6ClO7,20.609,5.553,0.627
KNaTiO3,68.776,5.569,0.626
Li2VO2F,86.433,5.579,0.626
Li2TiO3,103.723,5.587,0.625
Li2VO3,90.957,5.591,0.625
Na8Ti5O14,95.617,5.609,0.625
Ca5Zn3,29.207,5.674,0.622
Pr2TeO2,73.830,5.675,0.622
Sr(GaTe2)2,23.289,5.687,0.621
Ca4Mg4Fe3H22,50.485,5.727,0.620
TmHfCo2,136.250,5.738,0.619
Hf(Te2Cl3)2,9.910,5.752,0.619
Ce(Re2Si)2,196.669,5.789,0.617
LiFe2F6,79.268,5.797,0.617
LiAg2F6,38.194,5.848,0.614
Na3AgO2,46.450,5.855,0.614
Cs4ZnO3,18.205,5.859,0.614
Li5SbS,30.303,5.876,0.613
Ho2AlSi2,90.443,6.022,0.607
Tb2Si3,83.480,6.026,0.607
TmScHg2,68.079,6.036,0.606
Th2Ge,80.273,6.042,0.606
Li6IrN4,84.304,6.052,0.606
Na6MoN4,42.109,6.054,0.606
KLiZnO2,60.117,6.054,0.606
Li6MoN4,82.566,6.070,0.605
Rb2CdO2,38.636,6.083,0.604
Ba(PdO2)2,108.898,6.085,0.604
Li2MnO2,87.011,6.115,0.603
