formula,prediction,density,Peak Score
Re3W,358.943,34.247,2.698
Ir,358.103,31.333,2.692
Re3Ru,353.017,38.439,2.655
ReB2,346.287,16.313,2.607
BOs,342.373,31.677,2.578
Re3Pt,341.582,38.968,2.572
B2W,337.817,16.274,2.545
IrW,337.361,40.237,2.541
TaN,330.451,15.393,2.490
B2Mo,329.251,16.104,2.481
BMo,328.716,14.968,2.477
MoN,325.031,14.964,2.449
Ru3W,323.104,32.897,2.435
NbIr3,310.219,34.265,2.336
Co(BW)2,303.537,14.098,2.284
TaB2,303.312,15.550,2.282
B2Ru,299.525,16.375,2.252
Rh3W,298.911,31.881,2.248
SiIr3,297.663,44.763,2.238
WO2,297.623,27.686,2.237
IrO2,293.008,31.138,2.201
CoW,289.547,41.393,2.173
FeRe,288.995,41.387,2.168
TaMoN,287.055,8.517,2.153
W,282.994,33.665,2.120
V2ReOs,278.924,40.370,2.086
TaTiOs2,277.423,45.317,2.074
CrWN2,276.762,15.020,2.068
UB2Os3,276.730,6.909,2.068
Cr2N,273.714,8.600,2.043
ZrOs2,273.705,42.692,2.043
Ni(BMo)2,273.212,14.380,2.039
Co3W,272.650,37.226,2.034
Ta3N5,269.325,11.778,2.006
Ta2OsW,268.859,39.582,2.002
Nb4N3,268.762,10.810,2.002
TaAlOs2,265.136,47.843,1.971
Fe3Re,263.903,36.679,1.961
CoN,262.224,25.533,1.946
AlCr3B4,260.974,12.628,1.936
SiMo3,260.743,14.287,1.934
MnIr,260.101,73.835,1.928
CoMoP,259.444,14.657,1.922
B12W,259.170,23.166,1.920
VRu,255.879,44.471,1.892
MoPt2,255.586,31.621,1.889
VSiRu2,254.703,41.621,1.882
SiOs,253.978,31.513,1.875
VPt3,253.438,31.957,1.871
TaBeRu2,253.371,46.519,1.870
TaFeRu2,252.539,49.322,1.863
HfCo3B2,251.977,6.468,1.858
ScOs3,251.809,37.641,1.856
NbPt3,250.434,32.505,1.844
HfTaRe2,248.797,42.805,1.830
PuOs2,247.053,8.187,1.815
Co2Mo3N,247.023,27.885,1.814
TaCr2,246.906,29.054,1.813
HfRu3,246.503,37.624,1.810
Ta2MoRu,246.406,39.757,1.809
AlOs,246.215,80.365,1.807
Ta2MnOs,245.883,46.868,1.804
Ta2VOs,243.724,38.304,1.785
NiN,243.448,25.419,1.783
TaMn2,242.174,25.932,1.771
CrRh3,241.065,32.371,1.761
DyB2Ir3,240.439,7.421,1.756
LiIr3,239.456,6.483,1.747
Ta2NbOs,239.152,37.636,1.744
V3Re,238.770,34.398,1.741
CoPt3,236.878,55.924,1.724
TiNbN2,236.279,15.417,1.718
MnB4,233.265,27.184,1.691
PrB2Ir3,232.538,7.153,1.684
Ta2VRu,231.893,37.551,1.678
Ta2NbIr,230.537,39.240,1.666
PW,230.521,14.913,1.666
Ti3B4,230.428,12.537,1.665
V2CN,230.124,15.282,1.662
Cr3Co,229.940,33.133,1.660
TiPt8,229.485,31.326,1.656
NbAlRu2,229.017,45.833,1.652
HfPt3,228.651,32.568,1.648
AlIr,228.589,80.139,1.648
Be2IrPt,227.993,79.385,1.642
TaZnRu2,227.495,48.491,1.638
Cr3Ni,226.221,33.277,1.626
TiZnIr2,226.041,50.165,1.624
MnNbP,225.810,14.379,1.622
Ni3Mo,225.597,36.912,1.620
TaNi2,225.496,27.781,1.619
HfOs,225.114,46.920,1.616
Mn3AlC,224.853,43.331,1.613
BeGeRu2,224.768,77.557,1.612
Mn2Nb,224.631,23.077,1.611
MnSiIr,224.601,47.730,1.611
Mn2VSi,224.114,39.796,1.606
TaCuRh2,224.059,50.424,1.606
Cr3GaN,223.795,9.898,1.603
NbPt,223.434,45.538,1.600
