formula,prediction,density,Peak Score
Re3W,370.938,34.247,1.000
Re3Ru,358.980,38.439,0.968
Re3Pt,348.674,38.968,0.940
ReB2,344.693,16.313,0.929
Ir,344.625,31.333,0.929
B2W,335.776,16.274,0.905
MoN,333.709,14.964,0.899
BOs,333.367,31.677,0.898
TaN,329.447,15.393,0.888
BMo,324.165,14.968,0.873
IrW,321.135,40.237,0.865
B2Mo,315.231,16.104,0.849
Ru3W,313.875,32.897,0.846
Co(BW)2,308.949,14.098,0.832
NbIr3,304.567,34.265,0.820
CrWN2,298.501,15.020,0.804
SiIr3,297.636,44.763,0.802
WO2,296.045,27.686,0.797
TaMoN,293.916,8.517,0.792
TaB2,293.158,15.550,0.790
B2Ru,292.502,16.375,0.788
Rh3W,291.257,31.881,0.784
UB2Os3,291.033,6.909,0.784
CoW,287.472,41.393,0.774
Ni(BMo)2,286.341,14.380,0.771
V2ReOs,281.530,40.370,0.758
Cr2N,280.656,8.600,0.756
Co3W,278.456,37.226,0.750
FeRe,275.540,41.387,0.742
IrO2,273.161,31.138,0.735
Nb4N3,272.783,10.810,0.734
W,272.119,33.665,0.733
Ta2OsW,271.869,39.582,0.732
Co2Mo3N,271.569,27.885,0.731
ZrOs2,271.437,42.692,0.731
TaTiOs2,269.388,45.317,0.725
AlCr3B4,269.081,12.628,0.724
SiMo3,267.068,14.287,0.719
TaAlOs2,266.871,47.843,0.718
CoN,265.085,25.533,0.714
V2CN,263.586,15.282,0.710
CoMoP,263.545,14.657,0.709
ScOs3,260.356,37.641,0.701
Fe3Re,258.475,36.679,0.696
VPt3,255.463,31.957,0.688
Ta3N5,255.230,11.778,0.687
B12W,253.816,23.166,0.683
Ta2MnOs,253.369,46.868,0.682
MoPt2,252.888,31.621,0.681
NbPt3,252.447,32.505,0.679
VSiRu2,251.102,41.621,0.676
Ta2VOs,250.597,38.304,0.674
NiN,249.555,25.419,0.672
SiOs,246.789,31.513,0.664
HfRu3,246.754,37.624,0.664
TaMn2,246.635,25.932,0.664
TaFeRu2,246.569,49.322,0.664
VRu,246.350,44.471,0.663
MnIr,245.739,73.835,0.661
V3Re,245.673,34.398,0.661
TaBeRu2,245.056,46.519,0.659
DyB2Ir3,243.741,7.421,0.656
Ta2MoRu,243.549,39.757,0.655
HfCo3B2,242.400,6.468,0.652
TaCr2,241.626,29.054,0.650
Ta2NbOs,240.845,37.636,0.648
LiIr3,240.486,6.483,0.647
PW,240.246,14.913,0.646
TiNbN2,238.113,15.417,0.641
CrRh3,237.792,32.371,0.640
HfTaRe2,237.728,42.805,0.640
TiPt8,237.336,31.326,0.639
SiC,236.784,27.606,0.637
HfPt3,235.784,32.568,0.634
Be2IrPt,235.260,79.385,0.633
AlOs,233.549,80.365,0.628
CoPt3,233.369,55.924,0.628
Ta2NbIr,232.368,39.240,0.625
MnB4,232.138,27.184,0.624
Mn2Nb,232.056,23.077,0.624
Cr3Co,231.437,33.133,0.623
Ta2VRu,231.084,37.551,0.622
Mn2AlRe,230.777,41.658,0.621
PrB2Ir3,230.351,7.153,0.620
Ti3B4,230.112,12.537,0.619
Mn2VSi,230.027,39.796,0.619
Ni3Mo,229.914,36.912,0.618
PuOs2,229.866,8.187,0.618
TaZnRu2,229.517,48.491,0.617
Ni4Mo,228.671,36.137,0.615
Si3N4,227.720,28.615,0.613
MnNbP,227.386,14.379,0.612
BeGeRu2,226.535,77.557,0.609
NbPt,226.079,45.538,0.608
MnSiIr,225.061,47.730,0.605
Cr3Ni,224.994,33.277,0.605
NbAlRu2,224.462,45.833,0.604
C,223.871,27.742,0.602
TiZnIr2,223.300,50.165,0.601
AlPt3,222.951,57.099,0.600
