formula,prediction,density,Density Score
UB2Os3,283.525,6.909,2.813
ReB2,348.853,16.313,2.742
TaMoN,284.501,8.517,2.694
Cr2N,281.172,8.600,2.662
B2W,332.055,16.274,2.624
TaN,325.285,15.393,2.614
MoN,322.592,14.964,2.614
HfCo3B2,253.452,6.468,2.605
BMo,320.154,14.968,2.596
B2Mo,317.414,16.104,2.525
LiIr3,240.123,6.483,2.489
Co(BW)2,300.280,14.098,2.488
Nb4N3,274.684,10.810,2.464
DyB2Ir3,243.871,7.421,2.441
PrB2Ir3,236.637,7.153,2.400
TaB2,293.808,15.550,2.371
B2Ru,298.370,16.375,2.370
PuOs2,242.427,8.187,2.369
CrWN2,285.888,15.020,2.333
Ta3N5,263.233,11.778,2.314
YB2Ru3,229.101,7.455,2.308
Ir,353.783,31.333,2.292
Ni(BMo)2,275.509,14.380,2.280
LiNbIr2,214.430,6.424,2.261
AlCr3B4,261.420,12.628,2.253
Re3W,358.171,34.247,2.253
Nb2C,222.752,8.388,2.179
V2C,221.481,8.522,2.157
LuTaOs2,209.803,7.131,2.156
BOs,335.197,31.677,2.153
NbCrSi,218.670,8.647,2.122
U(Cr3P2)2,212.135,7.908,2.116
SiMo3,253.916,14.287,2.106
HoNbOs2,204.575,7.158,2.104
Re3Ru,348.483,38.439,2.094
SmB2Rh3,203.817,7.284,2.086
PuRu2,211.075,8.190,2.085
Ce(Re2Si)2,190.136,5.789,2.084
CoMoP,250.526,14.657,2.060
LuOs2,207.988,8.331,2.045
Re3Pt,340.742,38.968,2.028
Cr3GaN,217.053,9.898,2.022
Ta5Si3,211.097,9.120,2.018
TaCuN2,199.808,7.833,2.003
TiNbN2,247.214,15.417,1.997
Ti3B4,229.337,12.537,1.980
Ru3W,314.103,32.897,1.970
MgTaN2,196.016,7.828,1.966
PW,240.794,14.913,1.964
Hf2N,198.316,8.191,1.961
V2P,199.740,8.569,1.948
ErTaRu2,189.128,7.220,1.946
LiZr2Re,123.148,1.486,1.944
NbIr3,311.304,34.265,1.917
LaOs2,193.101,8.204,1.909
V2CN,236.002,15.282,1.905
HoTaRu2,184.946,7.241,1.902
Pr2(ReB2)3,202.241,9.603,1.901
W,306.181,33.665,1.893
ErRu3,187.921,7.746,1.892
NbCrGe,193.620,8.680,1.879
YTaRu2,181.069,7.221,1.863
Rh3W,296.321,31.881,1.860
IrW,319.748,40.237,1.851
WO2,279.963,27.686,1.841
TmNbRu2,178.222,7.165,1.838
Hf2Al4C5,183.926,8.205,1.816
MnNbP,221.290,14.379,1.815
DyB2Rh2C,196.517,10.092,1.813
YNbRu2,175.852,7.216,1.809
Ti2N,183.463,8.239,1.809
V3AsC,195.126,9.968,1.807
ZrNbP,180.028,7.798,1.806
PaB3,198.093,10.598,1.797
HfPRu,214.843,13.642,1.791
ScCoC2,176.191,7.535,1.787
V2O3,203.292,11.675,1.785
DyRh3C,194.355,10.224,1.783
Ta3Sb,182.275,8.500,1.777
HoSi2Rh3,174.970,7.537,1.774
Zr3N4,206.733,12.520,1.772
Zr5N5O2,195.116,10.545,1.771
TbB2Rh2C,191.973,10.132,1.765
MgTiN2,175.818,7.795,1.763
LiSi2N3,164.249,6.314,1.762
LiTiRh2,165.117,6.441,1.760
PaO2,194.609,10.840,1.748
CrO,209.609,13.682,1.739
TaBe2,183.373,9.286,1.733
LaWN3,195.172,11.197,1.733
IrO2,275.964,31.138,1.718
NdSi2Rh3,166.615,7.233,1.709
Cr2GeC,212.568,15.077,1.701
YAl3O6,188.061,10.592,1.697
B12W,245.543,23.166,1.690
Co2Mo3N,261.193,27.885,1.683
Nb4AlC3,213.015,15.587,1.682
CaAl2O4,159.073,6.574,1.681
ThB6,180.366,9.650,1.678
Sm2AlNO3,156.132,6.274,1.675
