formula,prediction,density,Peak Score
WO2,279.963,27.686,3.209
ReB2,348.853,16.313,2.776
TaN,325.285,15.393,2.755
BOs,335.197,31.677,2.734
SiIr3,294.703,44.763,2.713
Ir,353.783,31.333,2.705
B2W,332.055,16.274,2.705
Re3W,358.171,34.247,2.650
IrO2,275.964,31.138,2.623
UB2Os3,283.525,6.909,2.525
TaB2,293.808,15.550,2.512
B2Mo,317.414,16.104,2.474
MnIr,248.327,73.835,2.468
PaB3,198.093,10.598,2.393
Re3Ru,348.483,38.439,2.359
NiH,180.854,18.916,2.326
Mg(MoO2)2,176.719,13.951,2.316
UO3,149.399,10.419,2.296
Re3Pt,340.742,38.968,2.286
TaMoN,284.501,8.517,2.284
MoN,322.592,14.964,2.269
Co3W,275.613,37.226,2.262
Si3N4,218.741,28.615,2.223
CoW,285.215,41.393,2.218
HfCo3B2,253.452,6.468,2.206
BMo,320.154,14.968,2.202
V2O3,203.292,11.675,2.187
Nb4N3,274.684,10.810,2.165
MnSiIr,230.641,47.730,2.149
NbIr3,311.304,34.265,2.131
TaTiOs2,273.452,45.317,2.130
Ta2Ni,211.841,30.029,2.129
IrW,319.748,40.237,2.122
LiIr3,240.123,6.483,2.121
Co(BW)2,300.280,14.098,2.092
Ta2MnOs,253.490,46.868,2.076
ZrSiO,183.782,13.119,2.069
TaCr2,246.139,29.054,2.060
FeF2,150.082,33.570,2.053
TaMn2,247.204,25.932,2.052
FeRe,277.957,41.387,2.045
MnB4,222.807,27.184,2.044
Fe3Re,260.343,36.679,2.040
NiN,235.807,25.419,2.033
Ru3W,314.103,32.897,2.016
Cr2N,281.172,8.600,2.008
Ta2Co,214.002,29.616,2.005
Be2B,192.770,23.185,2.001
NiHO2,154.064,26.678,2.000
CrO,209.609,13.682,1.999
CoMoP,250.526,14.657,1.973
B12W,245.543,23.166,1.956
Rh3W,296.321,31.881,1.944
Ta2OsW,270.085,39.582,1.941
YAl3O6,188.061,10.592,1.929
W,306.181,33.665,1.909
TaAlOs2,268.781,47.843,1.906
B2Ru,298.370,16.375,1.884
CoPt3,241.272,55.924,1.871
V2ReOs,275.278,40.370,1.866
SiC,238.340,27.606,1.859
SiMo3,253.916,14.287,1.855
PuOs2,242.427,8.187,1.830
Co2Mo3N,261.193,27.885,1.826
UO,175.464,10.511,1.821
Mg(GaO2)2,164.401,45.600,1.821
CrOF3,94.090,9.239,1.818
CoN,243.473,25.533,1.817
Ta3N5,263.233,11.778,1.815
Mn2Nb,231.561,23.077,1.798
TaFeRu2,250.376,49.322,1.789
HfPRu,214.843,13.642,1.785
AlOs,240.873,80.365,1.777
DyB2Ir3,243.871,7.421,1.768
Be2IrPt,233.040,79.385,1.761
VSiRu2,255.772,41.621,1.757
MnPt3,225.346,55.145,1.750
ZrOs2,269.005,42.692,1.748
Y4Al2O9,161.106,9.521,1.743
VRu,263.319,44.471,1.743
MoPt2,263.239,31.621,1.738
PaO2,194.609,10.840,1.736
Mn5Si3,188.380,44.714,1.725
TaBeRu2,251.729,46.519,1.725
PrB2Ir3,236.637,7.153,1.723
AlPt2,209.061,58.917,1.723
CrWN2,285.888,15.020,1.698
CoPt,219.915,68.335,1.689
ZrSiO4,198.724,21.116,1.689
AlPt3,222.862,57.099,1.688
Rh2O3,203.782,40.525,1.685
Pr2(ReB2)3,202.241,9.603,1.681
Li(Co3P2)2,190.657,20.903,1.671
Ni(BMo)2,275.509,14.380,1.668
NbPt3,254.754,32.505,1.666
BP,182.884,29.295,1.665
YWO3,207.719,27.443,1.661
VPt3,256.890,31.957,1.661
Be2Fe,181.631,47.291,1.659
Ta2VOs,250.914,38.304,1.653
