formula,Density Score,Peak Score
Re3W,2.928,2.928
Re3Ru,2.740,2.740
Re3Pt,2.646,2.646
ReB2,2.596,2.596
MoN,2.543,2.543
Ir,2.543,2.543
B2W,2.536,2.536
TaN,2.490,2.490
BOs,2.406,2.406
IrW,2.370,2.370
BMo,2.340,2.340
Ru3W,2.314,2.314
B2Mo,2.277,2.277
WO2,2.208,2.208
NbIr3,2.202,2.202
Co(BW)2,2.157,2.157
B2Ru,2.152,2.152
SiIr3,2.134,2.134
CrWN2,2.110,2.110
TaB2,2.108,2.108
IrO2,2.096,2.096
Rh3W,2.070,2.070
FeRe,2.019,2.019
UB2Os3,1.980,1.980
TaMoN,1.977,1.977
W,1.939,1.939
Cr2N,1.916,1.916
CoW,1.893,1.893
ZrOs2,1.884,1.884
V2ReOs,1.881,1.881
TaTiOs2,1.879,1.879
B12W,1.861,1.861
Nb4N3,1.860,1.860
Ta2OsW,1.846,1.846
TaAlOs2,1.835,1.835
Co3W,1.823,1.823
MoPt2,1.801,1.801
Ni(BMo)2,1.788,1.788
Co2Mo3N,1.784,1.784
Ta3N5,1.778,1.778
MnIr,1.728,1.728
AlCr3B4,1.721,1.721
VRu,1.721,1.721
CoMoP,1.717,1.717
Fe3Re,1.711,1.711
TaMn2,1.693,1.693
HfCo3B2,1.685,1.685
ScOs3,1.677,1.677
VPt3,1.677,1.677
VSiRu2,1.657,1.657
CoN,1.654,1.654
HfTaRe2,1.654,1.654
TaCr2,1.649,1.649
NbPt3,1.646,1.646
MnB4,1.646,1.646
SiMo3,1.642,1.642
TaBeRu2,1.637,1.637
Ta2MnOs,1.623,1.623
TaFeRu2,1.616,1.616
Ta2VOs,1.613,1.613
V3Re,1.610,1.610
SiOs,1.609,1.609
V2CN,1.585,1.585
CrRh3,1.576,1.576
CoPt3,1.558,1.558
Ta2MoRu,1.558,1.558
Ti3B4,1.553,1.553
Mn2Nb,1.551,1.551
LiIr3,1.549,1.549
TiNbN2,1.547,1.547
AlOs,1.542,1.542
V2C,1.540,1.540
DyB2Ir3,1.540,1.540
Ta2NbOs,1.538,1.538
HfRu3,1.522,1.522
MnNbP,1.497,1.497
Nb2C,1.493,1.493
NiN,1.488,1.488
BeGeRu2,1.468,1.468
Ta2VRu,1.465,1.465
MnSiIr,1.461,1.461
PW,1.460,1.460
Ni3Mo,1.456,1.456
Ta2NbIr,1.455,1.455
TaZnRu2,1.452,1.452
PuOs2,1.446,1.446
Be2IrPt,1.444,1.444
Cr3Co,1.440,1.440
HfPt3,1.437,1.437
Mn2VSi,1.436,1.436
TaNi2,1.426,1.426
NbPt,1.422,1.422
TiPt8,1.421,1.421
ScNbOs2,1.419,1.419
Cr3GaN,1.418,1.418
Fe2P,1.417,1.417
AlPt3,1.415,1.415
NbAlRu2,1.410,1.410
NbFe2,1.406,1.406
TiGeRu2,1.405,1.405
