formula,prediction,density,Density Score
Lu8Te,57.992,0.117,3.296
LiZr2Re,125.520,1.486,2.976
LiSc2Pt,89.777,1.485,2.742
NdSc3,49.229,0.866,2.697
Sm2O,84.144,1.713,2.606
UB2Os3,271.311,6.909,2.321
HfCo3B2,247.997,6.468,2.301
Na4Br2O,21.097,0.947,2.291
U2Ti,110.860,3.309,2.274
LiIr3,241.365,6.483,2.271
Rb4Br2O,18.124,0.946,2.239
Ce(Re2Si)2,200.816,5.789,2.216
K4Br2O,14.950,0.947,2.178
LiNbIr2,210.182,6.424,2.148
TaMoN,286.838,8.517,2.146
Li2ZrN2,99.362,3.512,2.144
Cr2N,287.309,8.600,2.137
DyB2Ir3,239.489,7.421,2.116
NaTl2InF6,65.332,2.680,2.114
PrB2Ir3,226.765,7.153,2.104
YB2Ru3,227.406,7.455,2.061
LuTaOs2,214.017,7.131,2.052
PuOs2,245.515,8.187,2.031
HoNbOs2,205.319,7.158,2.009
SmB2Rh3,207.328,7.284,1.999
ErTaRu2,192.136,7.220,1.938
LiSi2N3,162.392,6.314,1.937
LiTiRh2,163.432,6.441,1.922
Nb2C,222.072,8.388,1.905
HoTaRu2,184.873,7.241,1.901
YTaRu2,183.977,7.221,1.899
TaCuN2,203.198,7.833,1.899
TmHfCo2,136.512,5.738,1.897
PuRu2,213.594,8.190,1.895
Pu,84.219,4.105,1.889
TmNbRu2,179.444,7.165,1.886
Sm2AlNO3,151.143,6.274,1.885
CaAl2O4,158.605,6.574,1.874
V2C,217.691,8.522,1.868
YNbRu2,177.231,7.216,1.867
ErRu3,191.622,7.746,1.858
LuOs2,209.445,8.331,1.857
Ca3GaN3,84.100,4.250,1.854
Hf6NiSb2,121.120,5.511,1.848
LiHfRh2,148.395,6.424,1.844
NbCrSi,216.168,8.647,1.844
Pr2AlNO3,145.496,6.336,1.843
Zr6CoAs2,119.093,5.512,1.835
ScCoC2,180.182,7.535,1.834
U(Cr3P2)2,190.490,7.908,1.829
Ho2C,68.361,3.826,1.827
Ca3MnN3,78.829,4.197,1.825
NaTi2BiO6,136.512,6.148,1.824
Hf2N,197.990,8.191,1.824
MgTaN2,185.038,7.828,1.814
ScSi3Ni2,149.058,6.647,1.811
LaOs2,193.650,8.204,1.802
LiZrPt2,141.183,6.437,1.802
HoSi2Rh3,173.154,7.537,1.799
Nb4N3,268.665,10.810,1.797
Zn2ReN3,154.556,6.928,1.796
NdSi2Rh3,163.012,7.233,1.793
ZrNbP,178.121,7.798,1.785
Hf2Al4C5,188.498,8.205,1.778
Ca3PCl3,36.176,2.796,1.776
Ho6MnBi2,52.496,3.446,1.775
Ta5Si3,212.090,9.120,1.764
Y2C,61.876,3.860,1.761
Ca4ZrN4,89.335,4.893,1.755
Zn2MoN3,146.588,6.937,1.751
MgTiN2,170.473,7.795,1.747
Ti2N,182.978,8.239,1.746
Ce3GaBr3,31.370,2.698,1.744
V2P,191.777,8.569,1.743
Li2TiO3,106.437,5.587,1.739
SmLu3,43.071,3.235,1.732
Cr3GaN,226.419,9.898,1.731
Sr2ZnN2,70.327,4.308,1.730
Na5BiO5,51.860,3.599,1.729
NaGe2N3,123.905,6.306,1.723
Ta3N5,274.633,11.778,1.715
NbCrGe,188.213,8.680,1.712
Sr6Cu3N5,58.548,3.937,1.711
Ca4VN4,83.056,4.889,1.708
VZn2N3,137.361,6.912,1.703
Ta3Sb,180.003,8.500,1.696
La2MgO4,139.501,7.047,1.694
CeRu2,171.880,8.227,1.693
Ba(PdO2)2,112.571,6.085,1.689
Mg2NbN3,131.857,6.888,1.674
Y,43.841,3.514,1.666
CeY3,38.654,3.312,1.659
Ca3Al2(SiO4)3,136.828,7.245,1.648
Ba3ZnN2O,50.467,3.921,1.635
Co(BW)2,312.901,14.098,1.631
PrRe2,164.110,8.401,1.629
MoN,332.783,14.964,1.624
Y(MnAl2)4,106.084,6.246,1.619
BMo,330.339,14.968,1.616
Ti3TlC,140.792,7.702,1.602
