formula,Density Score,Peak Score
Lu8Te,3.296,1.726
LiZr2Re,2.976,-0.139
LiSc2Pt,2.742,-0.513
NdSc3,2.697,-0.731
Sm2O,2.606,1.359
UB2Os3,2.321,-0.903
HfCo3B2,2.301,-0.864
Na4Br2O,2.291,1.529
U2Ti,2.274,0.347
LiIr3,2.271,-0.633
Rb4Br2O,2.239,1.659
Ce(Re2Si)2,2.216,-1.331
K4Br2O,2.178,1.445
LiNbIr2,2.148,-1.085
TaMoN,2.146,-1.396
Li2ZrN2,2.144,1.215
Cr2N,2.137,-1.773
DyB2Ir3,2.116,-1.373
NaTl2InF6,2.114,0.630
PrB2Ir3,2.104,-1.291
YB2Ru3,2.061,-1.714
LuTaOs2,2.052,-0.972
PuOs2,2.031,-1.118
HoNbOs2,2.009,-1.244
SmB2Rh3,1.999,-1.233
ErTaRu2,1.938,-1.191
LiSi2N3,1.937,0.002
LiTiRh2,1.922,-1.175
Nb2C,1.905,-1.724
HoTaRu2,1.901,-1.332
YTaRu2,1.899,-1.235
TaCuN2,1.899,-0.916
TmHfCo2,1.897,0.115
PuRu2,1.895,-1.436
Pu,1.889,0.631
TmNbRu2,1.886,-1.248
Sm2AlNO3,1.885,-0.159
CaAl2O4,1.874,0.511
V2C,1.868,-2.109
YNbRu2,1.867,-1.372
ErRu3,1.858,-1.195
LuOs2,1.857,-0.874
Ca3GaN3,1.854,0.751
Hf6NiSb2,1.848,0.144
LiHfRh2,1.844,-1.188
NbCrSi,1.844,-1.510
Pr2AlNO3,1.843,-0.710
Zr6CoAs2,1.835,0.229
ScCoC2,1.834,-0.819
U(Cr3P2)2,1.829,-2.289
Ho2C,1.827,0.924
Ca3MnN3,1.825,0.784
NaTi2BiO6,1.824,0.090
Hf2N,1.824,-0.651
MgTaN2,1.814,-1.038
ScSi3Ni2,1.811,-1.160
LaOs2,1.802,-1.260
LiZrPt2,1.802,-0.534
HoSi2Rh3,1.799,-1.549
Nb4N3,1.797,-1.518
Zn2ReN3,1.796,-0.699
NdSi2Rh3,1.793,-1.483
ZrNbP,1.785,-1.292
Hf2Al4C5,1.778,-0.367
Ca3PCl3,1.776,1.065
Ho6MnBi2,1.775,0.512
Ta5Si3,1.764,-0.866
Y2C,1.761,0.835
Ca4ZrN4,1.755,0.580
Zn2MoN3,1.751,-0.801
MgTiN2,1.747,-1.209
Ti2N,1.746,-1.185
Ce3GaBr3,1.744,-0.416
V2P,1.743,-2.193
Li2TiO3,1.739,0.696
SmLu3,1.732,1.101
Cr3GaN,1.731,-1.824
Sr2ZnN2,1.730,0.746
Na5BiO5,1.729,1.051
NaGe2N3,1.723,-0.118
Ta3N5,1.715,-1.721
NbCrGe,1.712,-1.685
Sr6Cu3N5,1.711,0.614
Ca4VN4,1.708,0.474
VZn2N3,1.703,-0.773
Ta3Sb,1.696,-0.264
La2MgO4,1.694,-0.840
CeRu2,1.693,-1.287
Ba(PdO2)2,1.689,-0.757
Mg2NbN3,1.674,-0.872
Y,1.666,1.071
CeY3,1.659,1.042
Ca3Al2(SiO4)3,1.648,-0.183
Ba3ZnN2O,1.635,0.252
Co(BW)2,1.631,-2.001
PrRe2,1.629,-1.370
MoN,1.624,-2.236
Y(MnAl2)4,1.619,0.195
BMo,1.616,-2.173
Ti3TlC,1.602,-0.682
Eu,1.575,1.918
Li2GeN2,1.500,2.056
LiTm3,1.490,1.679
CsCa3,1.456,2.042
Li3Th,1.395,2.129
RbCa3,1.385,1.902
BaSr3,1.381,1.956
Ba,1.340,1.860
UO3,1.259,2.037
Li3Sm,1.240,1.892
Li2Pt,1.238,1.812
Na2Pd3O4,1.201,2.353
LiCaRh,1.182,1.659
BaNa2,1.178,2.157
CrOF3,1.105,2.870
Rb7Au5O2,1.089,1.879
Rb3Na,1.021,2.212
Rb,1.005,2.181
Li2SiO3,0.976,1.857
NaLiO,0.937,1.785
LiBO2,0.715,1.990
Li3Pb,0.532,1.756
EuClO,0.471,2.022
Pt(SCl3)2,0.452,1.800
Li3Cd,0.417,1.785
UF6,0.404,2.238
ScBi3,0.342,1.709
Na3Hg,0.263,1.798
Li2O2,0.263,1.699
RuF6,0.250,2.238
Li2NbF6,0.246,1.750
K3As,0.217,2.033
CsK2Sb,0.167,2.037
K3Hg,0.165,2.127
K3Sn,0.155,1.894
Rb3Sb,0.150,1.907
K3Cd,0.147,2.103
K3P,0.094,1.794
Rb3Cd,0.077,2.054
MgWF6,0.053,1.689
PrBr3,0.017,2.044
NaF,0.007,1.923
AcBr3,-0.014,1.937
SbF3,-0.061,2.936
CsTeAu,-0.118,1.651
K2GeF6,-0.132,2.184
HF,-0.144,3.069
DyBr3,-0.158,2.273
CsF,-0.193,1.889
TiI4,-0.214,1.655
SnF4,-0.230,2.323
Rb2GeF6,-0.241,2.116
YBr3,-0.243,2.396
Rb2TiCl6,-0.254,1.888
HfBr3,-0.298,2.654
NdI3,-0.310,2.207
SmI3,-0.311,2.395
HoI3,-0.317,1.728
Rb2PdCl6,-0.334,2.000
K2PtCl6,-0.352,1.902
Rb2PdBr6,-0.353,2.289
MoBr3,-0.369,1.807
Rb2WBr6,-0.387,2.265
LiBr,-0.397,1.750
Cs2PtCl6,-0.398,1.930
H5CNO2,-0.421,2.570
TeF4,-0.428,1.760
Rb2SnBr6,-0.458,2.203
BiF5,-0.475,1.735
GeF2,-0.475,2.047
Cs2PbCl6,-0.476,1.977
