formula,Density Score,Peak Score
Cs2PtI6,-0.481,2.185
Cs2PdI6,-0.497,2.117
RbI,-0.504,2.104
KBr,-0.525,1.770
KNaICl,-0.539,1.987
KCrF3,-0.541,2.122
CsKICl,-0.592,1.953
NbTe4,-0.629,1.827
Cs2TeI6,-0.648,2.087
SF6,-0.683,2.038
TiSe2,-0.737,1.734
CrTe2,-0.960,1.667
SeCl,-0.977,1.890
CsCoCl3,-0.999,1.883
BCl3,-1.022,2.396
AsCl3,-1.030,1.967
RbMnBr3,-1.068,2.005
AsBr3,-1.115,2.594
K2SBrCl6,-1.208,1.800
Cs2SCl6F,-1.225,1.819
Cs2ICl6F,-1.235,1.810
CsTiBr3,-1.335,1.930
Sn4Bi2Se7,-1.681,1.847
MnBr2,-1.898,2.245
NiBr2,-1.927,2.199
FeBr2,-1.937,2.121
HgIBr,-1.968,2.409
