formula,Density Score,Peak Score
TaMoN,1.000,0.642
ReB2,0.997,0.578
BMo,0.992,0.499
TaN,0.991,0.684
MoN,0.990,0.468
B2W,0.985,0.640
UB2Os3,0.977,0.714
Co(BW)2,0.976,0.506
Cr2N,0.975,0.505
Ta3N5,0.955,0.552
B2Mo,0.950,0.562
PuOs2,0.944,0.641
B2Ru,0.942,0.419
TaB2,0.933,0.671
Nb4N3,0.930,0.543
HfCo3B2,0.930,0.654
CrWN2,0.928,0.351
Ni(BMo)2,0.915,0.364
DyB2Ir3,0.913,0.550
Re3W,0.912,0.597
LiIr3,0.897,0.641
BOs,0.896,0.704
Ir,0.890,0.566
AlCr3B4,0.888,0.384
PrB2Ir3,0.888,0.528
SiMo3,0.878,0.545
CoMoP,0.876,0.610
U(Cr3P2)2,0.872,0.344
Nb2C,0.872,0.403
NbCrSi,0.871,0.469
YB2Ru3,0.870,0.395
LiNbIr2,0.868,0.532
V2C,0.866,0.325
LuOs2,0.865,0.610
WO2,0.865,1.000
PuRu2,0.862,0.447
V2CN,0.859,0.383
Re3Ru,0.858,0.456
LuTaOs2,0.852,0.542
Cr3GaN,0.848,0.359
Ti3B4,0.848,0.280
Ru3W,0.843,0.453
TaCuN2,0.842,0.556
Ce(Re2Si)2,0.841,0.440
TiNbN2,0.841,0.324
HoNbOs2,0.839,0.474
Ta5Si3,0.839,0.556
Re3Pt,0.834,0.443
MnNbP,0.831,0.587
PW,0.830,0.109
SmB2Rh3,0.827,0.450
Zr3N4,0.823,0.406
V2P,0.818,0.255
ErTaRu2,0.818,0.464
V3AsC,0.813,0.280
NbCrGe,0.811,0.357
HfPRu,0.810,0.647
ZrNbP,0.809,0.439
Ti2N,0.809,0.468
Hf2Al4C5,0.808,0.606
ScCoC2,0.808,0.540
HoTaRu2,0.807,0.427
Hf2N,0.806,0.528
V2O3,0.803,0.730
DyRh3C,0.803,0.486
DyB2Rh2C,0.802,0.448
Zr5N5O2,0.802,0.590
ErRu3,0.802,0.442
Cr2GeC,0.800,0.281
TmNbRu2,0.800,0.441
TbB2Rh2C,0.800,0.443
PaO2,0.800,0.672
NbIr3,0.799,0.464
Rh3W,0.797,0.450
Pr2(ReB2)3,0.796,0.585
B12W,0.796,0.614
Ta3Sb,0.794,0.634
YTaRu2,0.794,0.421
IrW,0.794,0.468
MgTaN2,0.792,0.454
LaOs2,0.790,0.401
PuN,0.787,0.646
Co2Mo3N,0.787,0.537
Nb4AlC3,0.786,0.429
YNbRu2,0.785,0.387
LaWN3,0.785,0.609
TaBe2,0.783,0.607
PaC,0.781,0.658
LiTiRh2,0.780,0.415
HoSi2Rh3,0.778,0.351
ThB6,0.778,0.485
ZrSiO,0.777,0.832
LiSi2N3,0.776,0.627
PaB3,0.776,0.778
PrRh3C,0.776,0.493
MgTiN2,0.776,0.415
TaMn2,0.776,0.638
NdSi2Rh3,0.773,0.372
Mn2Nb,0.773,0.591
YAl3O6,0.772,0.683
IrO2,0.765,0.750
CaAl2O4,0.761,0.689
ThB2C,0.760,0.742
NiN,0.751,0.658
UO,0.748,0.698
MnB4,0.748,0.741
TaCr2,0.745,0.643
TmB2,0.737,0.678
Y4Al2O9,0.736,0.705
Mg(MoO2)2,0.728,0.805
UO3,0.721,0.872
YB2C,0.712,0.691
Li(Co3P2)2,0.709,0.653
HfGeO4,0.708,0.642
ZrSiO4,0.707,0.625
NiH,0.705,0.848
SiIr3,0.700,0.773
HoN,0.698,0.640
Si3N4,0.694,0.740
HfH3,0.690,0.688
U3Si,0.687,0.630
Ta2Co,0.685,0.724
ScF3,0.675,0.747
Be2B,0.670,0.685
LiGaO2,0.669,0.707
Li2ZrN2,0.666,0.618
Ta2Ni,0.662,0.725
ScH3,0.649,0.632
Li2MnO2,0.646,0.623
PmF3,0.645,0.665
Er2SiO5,0.643,0.622
VCuO2,0.633,0.635
BP,0.629,0.663
LiCo2Ge,0.628,0.695
LuSiIr,0.626,0.663
Li2GeN2,0.621,0.651
Li2SiO3,0.615,0.693
Ta2MnOs,0.612,0.627
CrOF3,0.609,0.740
Li2Pt,0.608,0.642
Na2Pd3O4,0.603,0.675
LiBO2,0.600,0.706
ErTlO2,0.592,0.658
PaNi2Sb,0.589,0.627
YCo3,0.587,0.709
CaB2,0.584,0.652
MgGeN2,0.579,0.645
YBiO3,0.568,0.620
BeZnO2,0.567,0.693
PaNi2Sn,0.566,0.627
NiHO2,0.563,0.707
MnSiIr,0.558,0.737
Rh2O3,0.549,0.618
Li2O2,0.548,0.660
ZnO,0.545,0.692
GaAuO2,0.537,0.676
LiFeP,0.534,0.643
As2O3,0.532,0.697
Li3InN2,0.523,0.623
NiPS,0.522,0.628
Mn5Si3,0.520,0.693
Sb2O3,0.518,0.622
FeF2,0.514,0.791
Ca(BeN)2,0.499,0.696
SbF3,0.490,0.657
Tl2InGaF6,0.483,0.623
Be2Fe,0.472,0.678
InGaO3,0.470,0.631
Ge3(BiO3)4,0.462,0.742
AlTlO2,0.460,0.713
Mg(GaO2)2,0.457,0.736
AlPO4,0.454,0.665
KCrF3,0.450,0.680
Y(AlSi)2,0.448,0.619
GeF2,0.447,0.634
MnIr,0.382,0.774
Zn3Os,0.272,0.625
MnZn,0.205,0.658
Zn3Co,0.170,0.669
